pair,support,flow_mm_s,metric,left_algorithm,right_algorithm,left_direction,right_direction,left_full_rank,right_full_rank,same_full_rank,same_adjacent_directions,left_pct_128_235,right_pct_128_235,same_direction_128_235,left_pct_235_285,right_pct_235_285,same_direction_235_285,left_pct_128_285,right_pct_128_285,same_direction_128_285
SV-B_vs_OMAG-B,native,1,raw_AUC_200,SV-B,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-70.63775166083548,-39.46527710626329,True,-20.255037720510227,-1.4052490823710106,True,-76.58508613752313,-40.315940744243356,True
SV-B_vs_OMAG-B,common,1,raw_AUC_200,SV-B,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-70.63775166083548,-39.46527710626329,True,-20.255037720510227,-1.4052490823710106,True,-76.58508613752313,-40.315940744243356,True
SV-B_vs_OMAG-B,native,1,vessel_core_P95,SV-B,OMAG-B,D128<D235<D285,D128<D235<D285,D128 < D235 < D285,D128 < D235 < D285,True,True,9.261742002762073,18.228919129018305,True,15.001988004166893,11.607164702340663,True,25.65317543116022,31.951944498120604,True
SV-B_vs_OMAG-B,common,1,vessel_core_P95,SV-B,OMAG-B,D128<D235<D285,D128<D235<D285,D128 < D235 < D285,D128 < D235 < D285,True,True,9.261742002762073,18.228919129018305,True,15.001988004166893,11.607164702340663,True,25.65317543116022,31.951944498120604,True
SV-B_vs_OMAG-B,native,3,normalized_AUC_um,SV-B,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-70.1363683400244,-48.541656505076,True,-24.244015217812517,-15.541921146106862,True,-77.37651174426037,-56.539271674149894,True
SV-B_vs_OMAG-B,common,3,normalized_AUC_um,SV-B,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-70.1363683400244,-48.494867272981644,True,-24.244015217812517,-15.541921146106862,True,-77.37651174426037,-56.49975438761252,True
SV-B_vs_OMAG-B,native,3,raw_AUC_200,SV-B,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-70.10703061299255,-40.24352584494325,True,-15.529590789509268,-4.018157669458836,True,-74.74928643362807,-42.644635194202856,True
SV-B_vs_OMAG-B,common,3,raw_AUC_200,SV-B,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-70.10703061299255,-40.30404903441044,True,-15.529590789509268,-4.018157669458836,True,-74.74928643362807,-42.70272646649067,True
SV-B_vs_OMAG-B,native,3,vessel_core_P95,SV-B,OMAG-B,D128<D235<D285,D128<D235<D285,D128 < D235 < D285,D128 < D235 < D285,True,True,2.7108837308797806,20.85567865512377,True,9.186465474963537,9.761713900816432,True,12.146383603846992,32.653264238327026,True
SV-B_vs_OMAG-B,common,3,vessel_core_P95,SV-B,OMAG-B,D128<D235<D285,D128<D235<D285,D128 < D235 < D285,D128 < D235 < D285,True,True,2.7108837308797806,20.708299460677484,True,9.186465474963537,9.761713900816432,True,12.146383603846992,32.49149830856956,True
SV-B_vs_OMAG-B,native,5,normalized_AUC_um,SV-B,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-72.54429094113486,-48.888299896025465,True,-23.152367012238127,-11.154160326459683,True,-78.90093746825563,-54.589380871202046,True
SV-B_vs_OMAG-B,common,5,normalized_AUC_um,SV-B,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-72.54429094113486,-48.888299896025465,True,-23.152367012238127,-11.154160326459683,True,-78.90093746825563,-54.589380871202046,True
SV-B_vs_OMAG-B,native,5,raw_AUC_200,SV-B,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-68.84452027335566,-38.99373914648416,True,-18.05289881841483,-2.7551494809147066,True,-74.4689875047985,-40.674552825715274,True
SV-B_vs_OMAG-B,common,5,raw_AUC_200,SV-B,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-68.84452027335566,-38.99373914648416,True,-18.05289881841483,-2.7551494809147066,True,-74.4689875047985,-40.674552825715274,True
SV-B_vs_OMAG-B,native,5,vessel_core_P95,SV-B,OMAG-B,D128<D235<D285,D128<D235<D285,D128 < D235 < D285,D128 < D235 < D285,True,True,6.505872033027824,19.87868196924077,True,7.264214087542105,8.01893495620614,True,14.242686593310598,29.491675502711406,True
SV-B_vs_OMAG-B,common,5,vessel_core_P95,SV-B,OMAG-B,D128<D235<D285,D128<D235<D285,D128 < D235 < D285,D128 < D235 < D285,True,True,6.505872033027824,19.87868196924077,True,7.264214087542105,8.01893495620614,True,14.242686593310598,29.491675502711406,True
SV-B_vs_OMAG-B,native,7,normalized_AUC_um,SV-B,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-86.01091878099393,-62.55968449423055,True,-24.048184272457583,-13.12727633769895,True,-89.37503881056426,-67.47457817237925,True
SV-B_vs_OMAG-B,common,7,normalized_AUC_um,SV-B,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-86.01091878099393,-62.55968449423055,True,-24.048184272457583,-13.12727633769895,True,-89.37503881056426,-67.47457817237925,True
SV-B_vs_OMAG-B,native,7,raw_AUC_200,SV-B,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-73.1739921231291,-41.95988644402642,True,-16.32922660017838,-5.829825511237108,True,-77.55447173712504,-45.34352379086356,True
SV-B_vs_OMAG-B,common,7,raw_AUC_200,SV-B,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-73.1739921231291,-41.97526174256224,True,-16.32922660017838,-5.829825511237108,True,-77.55447173712504,-45.35800273632291,True
SV-B_vs_OMAG-B,native,7,vessel_core_P95,SV-B,OMAG-B,D128<D235<D285,D128<D235<D285,D128 < D235 < D285,D128 < D235 < D285,True,True,92.25690077010267,57.076456200623824,True,6.8504783095233455,7.951285153025866,True,105.4274180559204,69.5660531414032,True
SV-B_vs_OMAG-B,common,7,vessel_core_P95,SV-B,OMAG-B,D128<D235<D285,D128<D235<D285,D128 < D235 < D285,D128 < D235 < D285,True,True,92.25690077010267,57.11575704973021,True,6.8504783095233455,7.951285153025866,True,105.4274180559204,69.6084789130896,True
SV-B_vs_OMAG-B,native,10,normalized_AUC_um,SV-B,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-74.06225408892718,-53.6600711245671,True,-24.27866713960929,-6.689733083530645,True,-80.35959308219417,-56.760088677431504,True
SV-B_vs_OMAG-B,common,10,normalized_AUC_um,SV-B,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-74.06225408892718,-53.6600711245671,True,-24.27866713960929,-6.689733083530645,True,-80.35959308219417,-56.760088677431504,True
SV-B_vs_OMAG-B,native,10,raw_AUC_200,SV-B,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-71.29889693253268,-43.25121203620059,True,-19.879936084922985,-1.9838945293061248,True,-77.00465787801306,-44.377048136061944,True
SV-B_vs_OMAG-B,common,10,raw_AUC_200,SV-B,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-71.29889693253268,-43.25121203620059,True,-19.879936084922985,-1.9838945293061248,True,-77.00465787801306,-44.377048136061944,True
SV-B_vs_OMAG-B,native,10,vessel_core_P95,SV-B,OMAG-B,D128<D235<D285,D128<D235<D285,D128 < D235 < D285,D128 < D235 < D285,True,True,9.483029972898004,21.507061847694303,True,5.185039760278197,5.077207434018795,True,15.159768607750062,27.67622742468325,True
SV-B_vs_OMAG-B,common,10,vessel_core_P95,SV-B,OMAG-B,D128<D235<D285,D128<D235<D285,D128 < D235 < D285,D128 < D235 < D285,True,True,9.483029972898004,21.507061847694303,True,5.185039760278197,5.077207434018795,True,15.159768607750062,27.67622742468325,True
OMAG-A_vs_OMAG-B,native,1,normalized_AUC_um,OMAG-A,OMAG-B,D128>D235>D285,D128>D235>D285,D285 < D235 < D128,D285 < D235 < D128,True,True,-48.667259976404104,-48.612862300600916,True,-15.91123115272809,-13.865404054409266,True,-56.834930898587416,-55.73789657461827,True
