pair,support,algorithm,flow_mm_s,metric,from_diameter_um,to_diameter_um,percent_change,reason
SV-A_vs_OMAG-A,native,SV-A,5,raw_AUC_200,128,235,-68.93414798993068,ok
SV-A_vs_OMAG-A,native,OMAG-A,5,raw_AUC_200,128,235,-37.14064704199936,ok
SV-A_vs_OMAG-A,native,SV-A,5,raw_AUC_200,235,285,-18.897911264522094,ok
SV-A_vs_OMAG-A,native,OMAG-A,5,raw_AUC_200,235,285,-5.098560908448007,ok
SV-A_vs_OMAG-A,native,SV-A,5,raw_AUC_200,128,285,-74.80494513636134,ok
SV-A_vs_OMAG-A,native,OMAG-A,5,raw_AUC_200,128,285,-40.34556943921933,ok
SV-A_vs_OMAG-A,common,SV-A,5,raw_AUC_200,128,235,-68.93414798993068,ok
SV-A_vs_OMAG-A,common,OMAG-A,5,raw_AUC_200,128,235,-37.14064704199936,ok
SV-A_vs_OMAG-A,common,SV-A,5,raw_AUC_200,235,285,-18.897911264522094,ok
SV-A_vs_OMAG-A,common,OMAG-A,5,raw_AUC_200,235,285,-5.098560908448007,ok
SV-A_vs_OMAG-A,common,SV-A,5,raw_AUC_200,128,285,-74.80494513636134,ok
SV-A_vs_OMAG-A,common,OMAG-A,5,raw_AUC_200,128,285,-40.34556943921933,ok
SV-A_vs_OMAG-A,native,SV-A,5,vessel_core_P95,128,235,23.514495991844047,ok
SV-A_vs_OMAG-A,native,OMAG-A,5,vessel_core_P95,128,235,23.592461637099486,ok
SV-A_vs_OMAG-A,native,SV-A,5,vessel_core_P95,235,285,6.770971428022156,ok
SV-A_vs_OMAG-A,native,OMAG-A,5,vessel_core_P95,235,285,8.261601316867145,ok
SV-A_vs_OMAG-A,native,SV-A,5,vessel_core_P95,128,285,31.87762722491738,ok
SV-A_vs_OMAG-A,native,OMAG-A,5,vessel_core_P95,128,285,33.803178075258614,ok
SV-A_vs_OMAG-A,common,SV-A,5,vessel_core_P95,128,235,23.514495991844047,ok
SV-A_vs_OMAG-A,common,OMAG-A,5,vessel_core_P95,128,235,23.592461637099486,ok
SV-A_vs_OMAG-A,common,SV-A,5,vessel_core_P95,235,285,6.770971428022156,ok
SV-A_vs_OMAG-A,common,OMAG-A,5,vessel_core_P95,235,285,8.261601316867145,ok
SV-A_vs_OMAG-A,common,SV-A,5,vessel_core_P95,128,285,31.87762722491738,ok
SV-A_vs_OMAG-A,common,OMAG-A,5,vessel_core_P95,128,285,33.803178075258614,ok
SV-A_vs_OMAG-A,native,SV-A,7,normalized_AUC_um,128,235,-87.7271760333166,ok
SV-A_vs_OMAG-A,native,OMAG-A,7,normalized_AUC_um,128,235,-62.86986835349347,ok
SV-A_vs_OMAG-A,native,SV-A,7,normalized_AUC_um,235,285,-22.784567319531305,ok
SV-A_vs_OMAG-A,native,OMAG-A,7,normalized_AUC_um,235,285,-16.755797235263472,ok
SV-A_vs_OMAG-A,native,SV-A,7,normalized_AUC_um,128,285,-90.52348587201314,ok
SV-A_vs_OMAG-A,native,OMAG-A,7,normalized_AUC_um,128,285,-69.0913179253685,ok
SV-A_vs_OMAG-A,common,SV-A,7,normalized_AUC_um,128,235,-87.7271760333166,ok
SV-A_vs_OMAG-A,common,OMAG-A,7,normalized_AUC_um,128,235,-62.86986835349347,ok
SV-A_vs_OMAG-A,common,SV-A,7,normalized_AUC_um,235,285,-22.784567319531305,ok
SV-A_vs_OMAG-A,common,OMAG-A,7,normalized_AUC_um,235,285,-16.755797235263472,ok
SV-A_vs_OMAG-A,common,SV-A,7,normalized_AUC_um,128,285,-90.52348587201314,ok
SV-A_vs_OMAG-A,common,OMAG-A,7,normalized_AUC_um,128,285,-69.0913179253685,ok
SV-A_vs_OMAG-A,native,SV-A,7,raw_AUC_200,128,235,-72.83663197598685,ok
SV-A_vs_OMAG-A,native,OMAG-A,7,raw_AUC_200,128,235,-39.23309732067914,ok
SV-A_vs_OMAG-A,native,SV-A,7,raw_AUC_200,235,285,-24.03231871293231,ok
SV-A_vs_OMAG-A,native,OMAG-A,7,raw_AUC_200,235,285,-10.561019957695141,ok
SV-A_vs_OMAG-A,native,SV-A,7,raw_AUC_200,128,285,-79.36461915268444,ok
