metric,flow_mm_s,support,direction,D128,D235,D285
raw_AUC_200,10,A_native,D128>D235>D285,6076404098.6701698,1824697168.0039144,1378725592.8093803
raw_AUC_200,10,B_native,D128>D235>D285,5723795197.017642,1642792358.8667769,1316206287.9160631
raw_AUC_200,10,A_common,D128>D235>D285,6076404098.6701698,1824697168.0039144,1378725592.8093803
raw_AUC_200,10,B_common,D128>D235>D285,5695602789.4282551,1666374744.9838932,1314402765.9870768
vessel_core_P95,1,A_native,D128<D235<D285,379745966.9624958,451615200.87422657,516794617.34093189
vessel_core_P95,1,B_native,D128<D235<D285,409191010.795506,447089226.51388007,514161498.64341491
vessel_core_P95,1,A_common,D128<D235<D285,379745966.9624958,451615200.87422657,516794617.34093189
vessel_core_P95,1,B_common,D128<D235<D285,411475456.6144253,446356854.70041525,497601189.72686917
vessel_core_P95,3,A_native,D128<D235<D285,407135180.16290605,509696212.98671401,526308325.95849597
vessel_core_P95,3,B_native,D128<D235<D285,444968364.58302289,457030939.58606589,499015929.0610413
vessel_core_P95,3,A_common,D128<D235<D285,412057515.4784537,509696212.98671401,526308325.95849597
vessel_core_P95,3,B_common,D128<D235<D285,444112212.8413713,459368001.88000572,494342945.98667568
vessel_core_P95,5,A_native,D128<D235<D285,408177337.8226369,504158181.5645566,538294587.99032879
vessel_core_P95,5,B_native,D128<D235<D285,451868207.56995749,481266174.91239548,516226380.18895674
vessel_core_P95,5,A_common,D128<D235<D285,408177337.8226369,504158181.5645566,538294587.99032879
vessel_core_P95,5,B_common,D128<D235<D285,452414660.87442291,484585793.4169566,516226380.18895674
vessel_core_P95,7,A_native,D128<D235>D285,233227946.57303619,530381224.39623249,515049505.85678273
vessel_core_P95,7,B_native,D128<D235<D285,259468653.51495877,498846391.71777582,533019755.58024192
vessel_core_P95,7,A_common,D128<D235>D285,233788575.20228773,530381224.39623249,515049505.85678273
vessel_core_P95,7,B_common,D128<D235<D285,259468653.51495877,497996841.29377693,527245171.24067146
vessel_core_P95,10,A_native,D128<D235>D285,398969003.74968451,527716817.77361298,525249563.64859617
vessel_core_P95,10,B_native,D128<D235<D285,450901830.93028146,493660986.70574594,519257505.14742053
vessel_core_P95,10,A_common,D128<D235>D285,398969003.74968451,527716817.77361298,525249563.64859617
vessel_core_P95,10,B_common,D128<D235<D285,454630287.78212988,498521844.59727836,514207819.4868257
