scan_id,diameter_um,flow_mm_s,metric,n_A,n_B,n_common,n_A_only,n_B_only,A_native_median,B_native_median,A_common_median,B_common_median,common_difference_B_minus_A,common_percent_difference,common_difference_reason,delta_native_B_minus_A,delta_A_native_to_common,delta_B_common_to_native
D285_F01_V01,285,1,raw_AUC_200,453,500,453,0,47,1426343366.4770589,1320713566.8110375,1426343366.4770589,1308604768.3652828,-117738598.11177611,-8.254576063446768,ok,-105629799.66602135,0,12108798.445754766
D285_F01_V01,285,1,vessel_core_P95,453,500,453,0,47,516794617.34093189,514161498.64341491,516794617.34093189,497601189.72686917,-19193427.614062726,-3.7139372141333142,ok,-2633118.6975169778,0,16560308.916545749
D285_F01_V01,285,1,normalized_AUC_um,453,500,453,0,47,2.6602227025217444,2.5694674334550065,2.6602227025217444,2.6416246276824897,-0.018598074839254686,-0.69911721381915648,ok,-0.09075526906673792,0,-0.072157194227483235
D285_F03_V01,285,3,raw_AUC_200,474,500,474,0,26,1473904395.7877994,1395195471.7167821,1473904395.7877994,1385443587.3509378,-88460808.436861515,-6.0018009777071981,ok,-78708924.071017265,0,9751884.3658442497
D285_F03_V01,285,3,vessel_core_P95,474,500,474,0,26,526308325.95849597,499015929.0610413,526308325.95849597,494342945.98667568,-31965379.971820295,-6.0735083211168979,ok,-27292396.897454679,0,4672983.0743656158
D285_F03_V01,285,3,normalized_AUC_um,474,500,474,0,26,2.7419631131958253,2.7335822091978601,2.7419631131958253,2.7502590073147504,0.0082958941189250623,0.30255308975531747,ok,-0.0083809039979652056,0,-0.016676798116890268
D285_F05_V01,285,5,raw_AUC_200,492,500,492,0,8,1407198433.0311007,1373135549.8529155,1407198433.0311007,1369464325.2641599,-37734107.766940832,-2.681505811917491,ok,-34062883.178185225,0,3671224.5887556076
D285_F05_V01,285,5,vessel_core_P95,492,500,492,0,8,538294587.99032879,516226380.18895674,538294587.99032879,516226380.18895674,-22068207.801372051,-4.0996525496868896,ok,-22068207.801372051,0,0
D285_F05_V01,285,5,normalized_AUC_um,492,500,492,0,8,2.551641519372279,2.581298185012725,2.551641519372279,2.581298185012725,0.029656665640446001,1.1622583115727689,ok,0.029656665640446001,0,0
D285_F07_V01,285,7,raw_AUC_200,458,500,458,0,42,1332075925.3672738,1364722434.361315,1332075925.3672738,1352700254.3478885,20624328.980614662,1.5482847927702181,ok,32646508.994041204,0,12022180.013426542
D285_F07_V01,285,7,vessel_core_P95,458,500,458,0,42,515049505.85678273,533019755.58024192,515049505.85678273,527245171.24067146,12195665.383888721,2.3678627481840375,ok,17970249.723459184,0,5774584.3395704627
D285_F07_V01,285,7,normalized_AUC_um,458,500,458,0,42,2.5968059149642189,2.5295604911263094,2.5968059149642189,2.5295604911263094,-0.067245423837909435,-2.5895436948292687,ok,-0.067245423837909435,0,0
D285_F10_V01,285,10,raw_AUC_200,494,500,494,0,6,1378725592.8093803,1316206287.9160631,1378725592.8093803,1314402765.9870768,-64322826.822303534,-4.6653828113276106,ok,-62519304.893317223,0,1803521.928986311
D285_F10_V01,285,10,vessel_core_P95,494,500,494,0,6,525249563.64859617,519257505.14742053,525249563.64859617,514207819.4868257,-11041744.161770463,-2.1021900684828823,ok,-5992058.501175642,0,5049685.660594821
D285_F10_V01,285,10,normalized_AUC_um,494,500,494,0,6,2.5262288159495849,2.5040456431805111,2.5262288159495849,2.5040456431805111,-0.022183172769073778,-0.87811415296263806,ok,-0.022183172769073778,0,0
