scan_id,flow_mm_s,stride_frames,phase,n_selected,first_selected_frame,last_selected_frame,metric,metric_label,full_median,subsample_median,error,abs_error,error_pct,abs_error_pct
flow01,1.0,5,1,97,1,491,q_vessel,Q_V,2254206200871.9404,2259492073624.9893,5285872753.048828,5285872753.048828,0.23448931827994354,0.23448931827994354
flow01,1.0,5,1,97,1,491,source_mean,Sbar_V,126523022.78553356,126378080.3507157,-144942.4348178655,144942.4348178655,-0.11455815046685557,0.11455815046685557
flow01,1.0,5,1,97,1,491,q_tail,Q_T,1363099623102.999,1381756196478.1277,18656573375.128662,18656573375.128662,1.3686874428633693,1.3686874428633693
flow01,1.0,5,1,97,1,491,ri_tail,RI_tail,0.1200366113631912,0.1199904089397491,-4.620242344209602e-05,4.620242344209602e-05,-0.03849027635602168,0.03849027635602168
flow01,1.0,5,2,96,2,487,q_vessel,Q_V,2254206200871.9404,2161580902640.3462,-92625298231.59424,92625298231.59424,-4.10899846676698,4.10899846676698
flow01,1.0,5,2,96,2,487,source_mean,Sbar_V,126523022.78553356,126727829.27537082,204806.48983725905,204806.48983725905,0.16187290291382153,0.16187290291382153
flow01,1.0,5,2,96,2,487,q_tail,Q_T,1363099623102.999,1352564079864.8418,-10535543238.157227,10535543238.157227,-0.7729107293107318,0.7729107293107318
flow01,1.0,5,2,96,2,487,ri_tail,RI_tail,0.1200366113631912,0.12470208013968989,0.004665468776498691,0.004665468776498691,3.8867048340631016,3.8867048340631016
flow01,1.0,5,3,96,3,493,q_vessel,Q_V,2254206200871.9404,2268822852935.1045,14616652063.164062,14616652063.164062,0.6484168155295755,0.6484168155295755
flow01,1.0,5,3,96,3,493,source_mean,Sbar_V,126523022.78553356,126605780.8296286,82758.04409503937,82758.04409503937,0.06540947431782494,0.06540947431782494
flow01,1.0,5,3,96,3,493,q_tail,Q_T,1363099623102.999,1390052989955.748,26953366852.749023,26953366852.749023,1.9773585434197103,1.9773585434197103
flow01,1.0,5,3,96,3,493,ri_tail,RI_tail,0.1200366113631912,0.11822667755205324,-0.001809933811137962,0.001809933811137962,-1.5078181486327527,1.5078181486327527
flow01,1.0,5,4,98,4,494,q_vessel,Q_V,2254206200871.9404,2323747194599.256,69540993727.31543,69540993727.31543,3.084943768694122,3.084943768694122
flow01,1.0,5,4,98,4,494,source_mean,Sbar_V,126523022.78553356,129123952.88223015,2600930.0966965854,2600930.0966965854,2.055697089299997,2.055697089299997
flow01,1.0,5,4,98,4,494,q_tail,Q_T,1363099623102.999,1371614389737.2131,8514766634.214111,8514766634.214111,0.6246620929166463,0.6246620929166463
flow01,1.0,5,4,98,4,494,ri_tail,RI_tail,0.1200366113631912,0.1222588520853185,0.0022222407221273027,0.0022222407221273027,1.8513024458875593,1.8513024458875593
flow01,1.0,10,0,50,0,490,q_vessel,Q_V,2254206200871.9404,2235242131016.9453,-18964069854.995117,18964069854.995117,-0.8412748508836371,0.8412748508836371
flow01,1.0,10,0,50,0,490,source_mean,Sbar_V,126523022.78553356,121060978.58962399,-5462044.195909575,5462044.195909575,-4.317035805545183,4.317035805545183
flow01,1.0,10,0,50,0,490,q_tail,Q_T,1363099623102.999,1327941733058.3188,-35157890044.680176,35157890044.680176,-2.579260491954781,2.579260491954781
flow01,1.0,10,0,50,0,490,ri_tail,RI_tail,0.1200366113631912,0.1219961848898691,0.001959573526677902,0.001959573526677902,1.632479877950635,1.632479877950635
flow01,1.0,10,1,48,1,491,q_vessel,Q_V,2254206200871.9404,2330337933918.0605,76131733046.12012,76131733046.12012,3.3773189434343633,3.3773189434343633
