subset,scan_id,diameter_um,flow_mm_s,n_frames,upper_mean_raw_q1,upper_mean_raw_median,upper_mean_raw_q3,upper_q_fraction_median,middle_mean_raw_q1,middle_mean_raw_median,middle_mean_raw_q3,middle_q_fraction_median,lower_mean_raw_q1,lower_mean_raw_median,lower_mean_raw_q3,lower_q_fraction_median,source_mean_raw_median,lower_to_upper_mean_ratio_median
all_valid,D500_F09_V01,500,9,482,182367727.97999838,203399780.97048342,239579585.28989196,0.58277157973969063,64371387.687240727,69532485.702113479,75266208.540717587,0.28231519568239666,44202394.151363611,46230760.101496473,48862677.13553448,0.13107801949750664,101843473.41110751,0.2254626890230422
all_valid,D500_F10_V01,500,10,500,182285794.13741004,205742175.05881464,239237695.40217024,0.58528588674690907,64932557.864848681,69974331.755868763,76746226.07739161,0.28358924698327348,44220681.377401769,46650241.169153385,48837712.616350807,0.13104383648788648,102744679.6192846,0.22523232078393113
all_valid,D500_F12_V01,500,12,500,182176047.94198865,207504768.46237814,244064308.06250328,0.58390032101838396,65101185.036435515,70530706.173747748,76831567.507128015,0.2837383399254188,44433824.989374936,46820609.244111948,48910111.740585536,0.13020780468045262,103872200.47110978,0.22375289699286655
direct_only,D285_F01_V01,285,1,350,286933686.36663586,322045652.44728112,372950414.85096043,0.51855724610891196,141771953.95331174,156206318.86241367,171685180.84534535,0.35721431874901655,73945031.442589775,78263191.837933183,84060109.463125542,0.12546653560343202,181585268.22734308,0.24704225147928549
direct_only,D285_F03_V01,285,3,347,297758699.84197176,336644235.70060092,391059327.08446771,0.52742114974902754,140414042.47413892,156039282.16943806,171066499.85947832,0.34655264193386631,74505885.449524492,79630354.420303017,85339576.599235386,0.12381096191113031,186248873.51738936,0.23686688636689532
direct_only,D285_F05_V01,285,5,348,296372522.89389026,334996607.85396278,391967665.3914988,0.52349805562675922,144727435.15404406,159206216.67947531,175698844.62372947,0.35307841222768332,74107900.372339979,80596915.412934333,86512813.787598148,0.12284973136512224,187653470.23645556,0.23581224287912278
direct_only,D285_F07_V01,285,7,353,315264407.32969779,363937447.04370368,403836991.16067743,0.54200212945840076,137759137.98435917,152825942.65600148,173033538.71224397,0.33620819434939891,73668811.230384067,79977090.114362374,87197062.513689145,0.12051431139828341,191827247.825216,0.22259607494745073
direct_only,D285_F10_V01,285,10,357,286319752.47966653,325291718.47937179,377133873.56394351,0.5239431069676409,136764941.21388811,150384916.96222165,169061724.2158269,0.34707309472627168,72554162.622052997,77407572.362451896,83810271.992752686,0.12566981529404411,180940969.35826328,0.23735038928510652
direct_only,D500_F01_V01,500,1,435,185638874.69471645,219263298.7168276,267119698.94054237,0.61965346644381569,59052607.270379357,63444254.399366848,69269872.803080961,0.25574209895878619,41149679.120468661,43107430.203948662,45209909.80832389,0.12297836594799258,102301956.07845949,0.1983547527479177
direct_only,D500_F02_V01,500,2,424,186033567.18072432,218847335.86011672,258319543.23161694,0.62123536545257374,58499922.55512058,63338824.922493935,69149609.844149694,0.25711600407645496,41518343.818609983,43312990.132068366,45262023.721674353,0.12354072987734266,102547748.35875379,0.20022867643898018
