flow_mm_s,slow_axis_segment,band,d285_mean_raw_median,d500_mean_raw_median,absolute_difference,percent_difference
5,1,lower,83566403.62166591,45783659.214966312,-37782744.406699598,-45.212840052032377
5,2,upper,354996075.0273549,208476126.60531223,-146519948.42204267,-41.273681240208724
5,2,middle,146569196.30369309,68078198.7247127,-78490997.578980386,-53.552178464802473
5,2,lower,75086976.261871114,46477221.448132522,-28609754.813738592,-38.102153313458864
5,3,upper,313040225.85747522,188196745.81533635,-124843480.04213887,-39.880970472778522
5,3,middle,160212530.37646776,66178153.001865186,-94034377.374602586,-58.69352238157677
5,3,lower,80798601.695220321,46360584.579489462,-34438017.115730859,-42.622045918114019
5,4,upper,259773471.25062242,173781256.29525533,-85992214.955367088,-33.102770094796988
5,4,middle,145172252.61140627,63512932.902648941,-81659319.708757326,-56.249950138433896
5,4,lower,78628399.020233929,44424901.809332788,-34203497.210901141,-43.500182678397593
7,0,upper,418728333.29736197,269482745.48456401,-149245587.81279796,-35.64258158446863
7,0,middle,203844177.36323881,77191565.325624615,-126652612.0376142,-62.132072485900046
7,0,lower,92144244.711136818,49220958.335975721,-42923286.375161096,-46.582710086475174
7,1,upper,391851680.67959666,235194446.67956787,-156657234.00002879,-39.978706669915212
7,1,middle,163063811.39108956,72415436.890884489,-90648374.50020507,-55.590736980135652
7,1,lower,81491036.246280447,46481523.185080707,-35009513.06119974,-42.961182816960076
7,2,upper,366291642.84320182,215788184.3697719,-150503458.47342992,-41.088422685596406
7,2,middle,132713123.92216229,69330322.730603769,-63382801.191558525,-47.75925644605671
7,2,lower,71431420.31176804,46399740.889916033,-25031679.421852008,-35.042953524652425
7,3,upper,344450843.73705691,189195254.90942943,-155255588.82762748,-45.073365808372003
7,3,middle,149464375.67900497,67245265.417292029,-82219110.261712939,-55.00916849797683
7,3,lower,78820412.400348783,46169106.548873067,-32651305.851475716,-41.424936583218425
7,4,upper,306493796.13799798,172110040.48982516,-134383755.64817283,-43.845505958517641
7,4,middle,143317951.94592077,64322806.451225251,-78995145.494695514,-55.118807115317516
7,4,lower,79145347.956380099,44325245.934299901,-34820102.022080198,-43.995134169188098
10,0,upper,386638268.40246409,264076693.30853474,-122561575.09392935,-31.699287191704236
10,0,middle,187585446.32226142,81573059.866073191,-106012386.45618823,-56.514185153823085
10,0,lower,91657005.750265405,49298452.577001765,-42358553.173263639,-46.214201333039931
10,1,upper,357479010.10432816,228241657.48390388,-129237352.62042427,-36.152431042792443
10,1,middle,158577146.91931471,73803015.019521296,-84774131.899793416,-53.459236432679141
10,1,lower,78325569.824405283,46722407.246381834,-31603162.578023449,-40.348461746110772
10,2,upper,331041181.37638354,205855647.9177168,-125185533.45866674,-37.815698016234023
10,2,middle,150903303.05573639,68693615.638484657,-82209687.417251736,-54.478388313930708
10,2,lower,76081626.604057908,46776968.617198646,-29304657.986859262,-38.517391510785949
10,3,upper,306487426.20846128,187730138.64607069,-118757287.5623906,-38.74784979975535
10,3,middle,145793447.88101476,66409798.696012557,-79383649.185002208,-54.44939422091791
10,3,lower,76260754.441707626,45978717.165001258,-30282037.276706368,-39.70854668091885
10,4,upper,272390173.03194964,169739411.42471236,-102650761.60723728,-37.68519270157261
10,4,middle,137268729.79587668,63694796.424675502,-73573933.371201187,-53.598465929282042
10,4,lower,73293313.521003008,44158724.971901968,-29134588.54910104,-39.750677312129163
