scope_type,scope_value,metric,baseline_valid_n,fixed128_valid_n,fixed128_invalid_n,baseline_median,baseline_q1,baseline_q3,fixed128_median,fixed128_q1,fixed128_q3,delta_median,abs_delta_median,abs_delta_p95,delta_pct_median,abs_delta_pct_median,abs_delta_pct_p95
scan,flow05,q_tail,491,491,0,1320784413673.864,1112280544873.0396,1539370159455.6799,1067707900188.6427,903458311062.33301,1255019785037.499,-227414123483.81787,229493175585.98804,511026271793.64087,-17.531989094811959,18.131775792998873,34.322655971575841
scan,flow05,relative_tail_burden,491,491,0,0.56683316910951487,0.47489163022313119,0.6850310827476247,0.49742696893019239,0.4074276946306109,0.61924238850451074,-0.058018766904724295,0.058867331250510246,0.16594032032940528,-10.595700448045969,10.979478090982388,26.194973479689224
scan,flow05,relative_tail_intensity,491,491,0,0.1139710492110269,0.095460879332231713,0.13773306140052577,0.10002063570935189,0.081929229621220984,0.12451801700937956,-0.011670198987168409,0.011857424295345531,0.033351044132674021,-10.61103242352455,10.919308529613133,26.205738532183943
scan,flow07,q_vessel,493,493,0,1673677772032.0164,1401447703399.355,1998157951685.3965,1553295580138.7029,1300535107022.1982,1871990188928.4229,-106251221839.64697,110506145887.95581,253308925733.02362,-6.2006248679716585,6.478443329531471,14.747040645684732
scan,flow07,q_tail,493,493,0,1272731174395.8386,1067766531941.5116,1500154093190.689,1116809519882.8711,937423513230.55908,1312594395857.9299,-147546078328.92822,149215910636.79846,387302176132.4126,-11.770113820603889,12.192251577879295,27.938061039835176
scan,flow07,relative_tail_burden,493,493,0,0.76237482865987272,0.62312234826057267,0.90511357980326079,0.71142960042437886,0.58015810364337661,0.85847984118863774,-0.037339941073082139,0.044138419743598556,0.15879690528320081,-5.2707238411719119,5.952228869421254,19.329462958079887
scan,flow07,relative_tail_intensity,493,493,0,0.15329320834104709,0.12531031615502269,0.1820265317049197,0.14307729693402585,0.1166649222211097,0.17262416917549137,-0.0075250388407264307,0.0088984687592165712,0.031943256506011632,-5.2718990180731842,5.9609706740363633,19.313401550247594
scan,flow10,q_vessel,484,484,0,2336262125396.6445,1991292827921.3936,2694092397018.0459,2173679806567.5095,1839628200542.9387,2483729476012.4854,-171139925878.67993,171281331891.2085,327690135441.63702,-7.0916810053680539,7.2476460459262562,14.539933996288731
scan,flow10,q_tail,484,484,0,1371539929611.8394,1163264550321.1995,1590527249760.3025,1138387920525.5723,972277156547.94287,1334654218782.1228,-222315683602.44226,222315683602.44226,489578620203.69434,-16.463283956518417,16.649416605537212,31.45891551422023
scan,flow10,relative_tail_burden,484,484,0,0.58202748565279316,0.50044504685728042,0.6962404517449392,0.52657249408791229,0.43809643167938433,0.62247625582428578,-0.054104173601902866,0.05538776339100146,0.16604733852814466,-9.9806848069221132,10.226431563849758,24.451079758499073
scan,flow10,relative_tail_intensity,484,484,0,0.1170343121650288,0.10061540478090128,0.13999903089756355,0.10587973603057992,0.08808044832006745,0.12516342454093801,-0.01089986030706714,0.011129013720590115,0.033408618121523272,-9.9924189004120674,10.215122821573866,24.4310225040185
