scan_id,diameter_um,flow_mm_s,grid_scope,mode,predictor,tail_variable,tail_depth_um,metric_family,rho_lag0,rho_peak,lag_at_peak,n_pairs_at_lag0,n_pairs_at_peak,rho_remote_median,zero_lag_specificity,zero_lag_rank,peak_within_5,peak_tie_count,n_finite_lags
D128_F01_V01,128,1,common_grid,detrended_51,upper_q_raw,tail_q_raw_500um,500,q,0.30742985261826922,0.30742985261826922,0,486,486,-0.0076778032756568936,0.31510765589392609,1,True,1,101
D128_F01_V01,128,1,common_grid,raw,lower_mean_raw,tail_mean_raw_100um,100,mean,0.32672140800170602,0.32672140800170602,0,486,486,0.051280210998002798,0.27544119700370323,1,True,1,101
D128_F01_V01,128,1,common_grid,raw,lower_mean_raw,tail_mean_raw_500um,500,mean,0.39157115158300609,0.39157115158300609,0,486,486,0.057535388427948364,0.33403576315505773,1,True,1,101
D128_F01_V01,128,1,common_grid,raw,lower_q_raw,tail_q_raw_100um,100,q,0.3727090427218146,0.3727090427218146,0,486,486,-0.0031205276591924807,0.37582957038100706,1,True,1,101
D128_F01_V01,128,1,common_grid,raw,lower_q_raw,tail_q_raw_500um,500,q,0.43963365695691381,0.43963365695691381,0,486,486,-0.026049276523741997,0.46568293348065581,1,True,1,101
D128_F01_V01,128,1,common_grid,raw,middle_mean_raw,tail_mean_raw_100um,100,mean,0.43300897798664467,0.43300897798664467,0,486,486,-0.00027427156711988277,0.43328324955376457,1,True,1,101
D128_F01_V01,128,1,common_grid,raw,middle_mean_raw,tail_mean_raw_500um,500,mean,0.47161936451859315,0.47161936451859315,0,486,486,0.0029839649946294096,0.46863539952396377,1,True,1,101
D128_F01_V01,128,1,common_grid,raw,middle_q_raw,tail_q_raw_100um,100,q,0.39507641598710413,0.39507641598710413,0,486,486,-0.021144661872106545,0.4162210778592107,1,True,1,101
D128_F01_V01,128,1,common_grid,raw,middle_q_raw,tail_q_raw_500um,500,q,0.38804309789018743,0.38804309789018743,0,486,486,-0.03228344456414825,0.42032654245433565,1,True,1,101
D128_F01_V01,128,1,common_grid,raw,source_mean_raw,tail_mean_raw_100um,100,mean,0.45449645472366801,0.45449645472366801,0,486,486,0.010260785373894465,0.44423566934977354,1,True,1,101
D128_F01_V01,128,1,common_grid,raw,source_mean_raw,tail_mean_raw_500um,500,mean,0.50684271914893497,0.50684271914893497,0,486,486,0.0098208642202944202,0.49702185492864054,1,True,1,101
D128_F01_V01,128,1,common_grid,raw,source_q_raw,tail_q_raw_100um,100,q,0.43835682956042538,0.43835682956042538,0,486,486,-0.034160345352576615,0.47251717491300199,1,True,1,101
D128_F01_V01,128,1,common_grid,raw,source_q_raw,tail_q_raw_500um,500,q,0.47619708448684495,0.47619708448684495,0,486,486,-0.037794166128027114,0.51399125061487205,1,True,1,101
D128_F01_V01,128,1,common_grid,raw,upper_mean_raw,tail_mean_raw_100um,100,mean,0.24194901732952914,0.24194901732952914,0,486,486,-0.03378539151076887,0.27573440884029798,1,True,1,101
D128_F01_V01,128,1,common_grid,raw,upper_mean_raw,tail_mean_raw_500um,500,mean,0.25596442989275175,0.25596442989275175,0,486,486,-0.047571831095090798,0.30353626098784253,1,True,1,101
D128_F01_V01,128,1,common_grid,raw,upper_q_raw,tail_q_raw_100um,100,q,0.23497005900387283,0.23497005900387283,0,486,486,-0.026739421703073755,0.26170948070694661,1,True,1,101
D128_F01_V01,128,1,common_grid,raw,upper_q_raw,tail_q_raw_500um,500,q,0.23485642617433436,0.23485642617433436,0,486,486,-0.037898659562946121,0.27275508573728047,1,True,1,101
D128_F03_V01,128,3,common_grid,detrended_101,lower_mean_raw,tail_mean_raw_100um,100,mean,0.25749008533472445,0.25749008533472445,0,468,468,-0.010374643428384931,0.26786472876310941,1,True,1,101
D128_F03_V01,128,3,common_grid,detrended_101,lower_mean_raw,tail_mean_raw_500um,500,mean,0.25284077821855699,0.25284077821855699,0,468,468,-0.027861475641545837,0.28070225386010283,1,True,1,101
