scan_id,diameter_um,flow_mm_s,grid_scope,mode,predictor,tail_variable,tail_depth_um,controls,partial_rho,n_pairs,control_design_rank,status
D128_F03_V01,128,3,common_grid,raw,upper_mean_raw,tail_mean_raw_100um,100,z_top,0.258593174909581,468,2,ok
D128_F03_V01,128,3,common_grid,raw,upper_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.18781022196812305,468,3,ok
D128_F03_V01,128,3,common_grid,raw,upper_mean_raw,tail_mean_raw_500um,500,source_area,0.19247759773188414,468,2,ok
D128_F03_V01,128,3,common_grid,raw,upper_mean_raw,tail_mean_raw_500um,500,z_top,0.23473563156797034,468,2,ok
D128_F03_V01,128,3,common_grid,raw,upper_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.14230833635705972,468,3,ok
D128_F03_V01,128,3,common_grid,raw,middle_mean_raw,tail_mean_raw_100um,100,source_area,0.3166648494508707,468,2,ok
D128_F03_V01,128,3,common_grid,raw,middle_mean_raw,tail_mean_raw_100um,100,z_top,0.37259937942166854,468,2,ok
D128_F03_V01,128,3,common_grid,raw,middle_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.31146888709810489,468,3,ok
D128_F03_V01,128,3,common_grid,raw,middle_mean_raw,tail_mean_raw_500um,500,source_area,0.30331450523630221,468,2,ok
D128_F03_V01,128,3,common_grid,raw,middle_mean_raw,tail_mean_raw_500um,500,z_top,0.35592453327490825,468,2,ok
D128_F03_V01,128,3,common_grid,raw,middle_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.27551379042250795,468,3,ok
D128_F03_V01,128,3,common_grid,raw,lower_mean_raw,tail_mean_raw_100um,100,source_area,0.22558617356841984,468,2,ok
D128_F03_V01,128,3,common_grid,raw,lower_mean_raw,tail_mean_raw_100um,100,z_top,0.23344341031397903,468,2,ok
D128_F03_V01,128,3,common_grid,raw,lower_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.22270763834118937,468,3,ok
D128_F03_V01,128,3,common_grid,raw,lower_mean_raw,tail_mean_raw_500um,500,source_area,0.20677167035838648,468,2,ok
D128_F03_V01,128,3,common_grid,raw,lower_mean_raw,tail_mean_raw_500um,500,z_top,0.21082046056311754,468,2,ok
D128_F03_V01,128,3,common_grid,raw,lower_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.19842908000166326,468,3,ok
D128_F03_V01,128,3,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,source_area,0.32328325232930505,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,z_top,0.38923559220006337,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_31,source_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.32026605906412142,468,3,ok
D128_F03_V01,128,3,common_grid,detrended_31,source_mean_raw,tail_mean_raw_500um,500,source_area,0.33264360911047586,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_31,source_mean_raw,tail_mean_raw_500um,500,z_top,0.4128485712919005,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_31,source_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.3299145599836989,468,3,ok
D128_F03_V01,128,3,common_grid,detrended_31,upper_mean_raw,tail_mean_raw_100um,100,source_area,0.24627127113025035,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_31,upper_mean_raw,tail_mean_raw_100um,100,z_top,0.31667894983790174,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_31,upper_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.23955862510459586,468,3,ok
D128_F03_V01,128,3,common_grid,detrended_31,upper_mean_raw,tail_mean_raw_500um,500,source_area,0.24899357711989031,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_31,upper_mean_raw,tail_mean_raw_500um,500,z_top,0.33605048523159742,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_31,upper_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.24304286834350697,468,3,ok
D128_F03_V01,128,3,common_grid,detrended_31,middle_mean_raw,tail_mean_raw_100um,100,source_area,0.33113066171140104,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_31,middle_mean_raw,tail_mean_raw_100um,100,z_top,0.39796925769474267,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_31,middle_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.32896931915579808,468,3,ok
D128_F03_V01,128,3,common_grid,detrended_31,middle_mean_raw,tail_mean_raw_500um,500,source_area,0.32555625378079667,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_31,middle_mean_raw,tail_mean_raw_500um,500,z_top,0.40861908279439685,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_31,middle_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.32353089420250597,468,3,ok
D128_F03_V01,128,3,common_grid,detrended_31,lower_mean_raw,tail_mean_raw_100um,100,source_area,0.1726358142138916,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_31,lower_mean_raw,tail_mean_raw_100um,100,z_top,0.19151137680309219,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_31,lower_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.18412592723458165,468,3,ok
D128_F03_V01,128,3,common_grid,detrended_31,lower_mean_raw,tail_mean_raw_500um,500,source_area,0.19364954900775203,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_31,lower_mean_raw,tail_mean_raw_500um,500,z_top,0.21042603682229297,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_31,lower_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.20455763646292455,468,3,ok
D128_F03_V01,128,3,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,source_area,0.34217053451558266,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,z_top,0.39851377940701704,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_51,source_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.33993064006042167,468,3,ok
D128_F03_V01,128,3,common_grid,detrended_51,source_mean_raw,tail_mean_raw_500um,500,source_area,0.32119025100183179,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_51,source_mean_raw,tail_mean_raw_500um,500,z_top,0.39350201653763528,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_51,source_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.31854575377580657,468,3,ok
D128_F03_V01,128,3,common_grid,detrended_51,upper_mean_raw,tail_mean_raw_100um,100,source_area,0.21692881527534685,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_51,upper_mean_raw,tail_mean_raw_100um,100,z_top,0.28431459878137022,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_51,upper_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.21314353940974062,468,3,ok
D128_F03_V01,128,3,common_grid,detrended_51,upper_mean_raw,tail_mean_raw_500um,500,source_area,0.19643329282381528,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_51,upper_mean_raw,tail_mean_raw_500um,500,z_top,0.28150689347300439,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_51,upper_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.19178562304114513,468,3,ok
D128_F03_V01,128,3,common_grid,detrended_51,middle_mean_raw,tail_mean_raw_100um,100,source_area,0.32968831603033111,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_51,middle_mean_raw,tail_mean_raw_100um,100,z_top,0.39014476235175843,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_51,middle_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.32857206596717425,468,3,ok
D128_F03_V01,128,3,common_grid,detrended_51,middle_mean_raw,tail_mean_raw_500um,500,source_area,0.30953580995347435,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_51,middle_mean_raw,tail_mean_raw_500um,500,z_top,0.3871967919663315,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_51,middle_mean_raw,tail_mean_raw_500um,500,source_area+z_top,0.30831548112701562,468,3,ok
D128_F03_V01,128,3,common_grid,detrended_51,lower_mean_raw,tail_mean_raw_100um,100,source_area,0.22754874180084148,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_51,lower_mean_raw,tail_mean_raw_100um,100,z_top,0.24386796860001295,468,2,ok
D128_F03_V01,128,3,common_grid,detrended_51,lower_mean_raw,tail_mean_raw_100um,100,source_area+z_top,0.23316151971466847,468,3,ok
