scan_id,flow_mm_s,metric,metric_label,lag_frames,pair_count,acf
flow05,5.0,ri_tail,RI_tail,50,436,0.10124436139616691
flow05,5.0,ri_tail,RI_tail,75,413,0.03809265743043324
flow05,5.0,ri_tail,RI_tail,100,388,-0.012197386417153568
flow05,5.0,ri_tail,RI_tail,150,338,-0.05577340875620794
flow05,5.0,ri_tail,RI_tail,200,290,-0.007847708634054956
flow07,7.0,q_vessel,Q_V,0,493,1.0
flow07,7.0,q_vessel,Q_V,1,487,0.5330460430682223
flow07,7.0,q_vessel,Q_V,2,486,0.40832630101400597
flow07,7.0,q_vessel,Q_V,3,484,0.3370095519770845
flow07,7.0,q_vessel,Q_V,5,482,0.1551380689878128
flow07,7.0,q_vessel,Q_V,10,477,0.07354150370870723
flow07,7.0,q_vessel,Q_V,20,467,0.08774469096880912
flow07,7.0,q_vessel,Q_V,30,457,0.05553479131934794
flow07,7.0,q_vessel,Q_V,50,439,0.02512868630723986
flow07,7.0,q_vessel,Q_V,75,416,0.02589988178403018
flow07,7.0,q_vessel,Q_V,100,391,0.09301958439889159
flow07,7.0,q_vessel,Q_V,150,342,-0.08992327240381404
flow07,7.0,q_vessel,Q_V,200,293,-0.036072491623799594
flow07,7.0,source_mean,Sbar_V,0,493,1.0
flow07,7.0,source_mean,Sbar_V,1,487,0.46228170797892737
flow07,7.0,source_mean,Sbar_V,2,486,0.3243789098401821
flow07,7.0,source_mean,Sbar_V,3,484,0.2374218054660634
flow07,7.0,source_mean,Sbar_V,5,482,0.0769045717087572
flow07,7.0,source_mean,Sbar_V,10,477,0.013878480617867308
flow07,7.0,source_mean,Sbar_V,20,467,0.034507263434891675
flow07,7.0,source_mean,Sbar_V,30,457,0.07206806079948595
flow07,7.0,source_mean,Sbar_V,50,439,0.04684057073939349
flow07,7.0,source_mean,Sbar_V,75,416,-0.014315560399434681
flow07,7.0,source_mean,Sbar_V,100,391,0.04706275588654353
flow07,7.0,source_mean,Sbar_V,150,342,-0.04406766137016709
flow07,7.0,source_mean,Sbar_V,200,293,-0.08492099668320814
flow07,7.0,q_tail,Q_T,0,493,1.0
flow07,7.0,q_tail,Q_T,1,487,0.5387125796217319
flow07,7.0,q_tail,Q_T,2,486,0.42866212090234473
flow07,7.0,q_tail,Q_T,3,484,0.2911161353529365
flow07,7.0,q_tail,Q_T,5,482,0.19506267079657635
flow07,7.0,q_tail,Q_T,10,477,0.09099560729201031
flow07,7.0,q_tail,Q_T,20,467,0.08081814756190676
