scan_id,frame_id,variant,q_vessel,q_tail,ratio_tail_to_vessel,q_tail_direct_check,source_area_um2,tail_area_um2,requested_tail_area_um2,source_mean,tail_window_complete,source_window_complete,source_qc_valid,background_complete,background_excluded_side,valid,invalid_reason,tail_gap_um,requested_tail_length_um,lateral_width_um,x_left_edge_px,x_right_edge_px,z_top_edge_px,diameter_um,dx_um,dz_um,z_bottom_edge_px
flow01,flow01_Bscan499,x_minus_1px,1103642851926.3044,2292328026786.096,2.077056017519666,2292328026786.096,17876.877187500002,88899.99999999999,88899.99999999999,61735774.11484381,True,True,True,True,,True,ok,0.0,500.0,177.79999999999998,240.32372992862216,254.32372992862216,187.5,128.0,12.7,6.7,206.6044776119403
flow01,flow01_Bscan499,x_plus_1px,1117265066361.371,2214270018507.622,1.9818663316117975,2214270018507.6226,17876.877187500002,88899.9999999998,88899.99999999983,62497776.017759584,True,True,True,True,,True,ok,0.0,500.0,177.79999999999964,242.32372992862216,256.32372992862213,187.5,128.0,12.7,6.7,206.6044776119403
flow01,flow01_Bscan499,z_minus_1px,1020202257354.7561,2549366562996.0044,2.498883475916002,2549366562996.005,17876.877187500002,88899.99999999999,88899.99999999999,57068258.994815335,True,True,True,True,,True,ok,0.0,500.0,177.79999999999998,241.32372992862216,255.32372992862216,186.5,128.0,12.7,6.7,205.6044776119403
flow01,flow01_Bscan499,z_plus_1px,1216411528844.2803,2287004517334.9546,1.8801240066409524,2287004517334.9546,17876.877187500002,88899.99999999999,88899.99999999999,68043848.82695442,True,True,True,True,,True,ok,0.0,500.0,177.79999999999998,241.32372992862216,255.32372992862216,188.5,128.0,12.7,6.7,207.6044776119403
flow01,flow01_Bscan499,background_skip_plus_2px,1153505157588.3333,2376526284306.4307,2.0602649833617592,2376526284306.4307,17876.877187500002,88899.99999999999,88899.99999999999,64524980.816833906,True,True,True,True,,True,ok,0.0,500.0,177.79999999999998,241.32372992862216,255.32372992862216,187.5,128.0,12.7,6.7,206.6044776119403
flow03,flow03_Bscan000,x_minus_1px,1910167981829.2498,1185241949756.0105,0.6204909521208588,1185241949756.0107,15320.188593750001,76199.99999999999,76199.99999999999,124683059.22869113,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,227.143405172141,239.143405172141,209.5,128.0,12.7,6.7,228.6044776119403
flow03,flow03_Bscan000,x_plus_1px,1915552788283.7366,1331616187742.6804,0.6951602669930901,1331616187742.6804,15320.188593750001,76199.99999999999,76199.99999999999,125034543.57377835,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,229.143405172141,241.143405172141,209.5,128.0,12.7,6.7,228.6044776119403
flow03,flow03_Bscan000,z_minus_1px,1780521926330.8323,1307563412068.5776,0.7343708565067253,1307563412068.5776,15320.188593750001,76199.99999999999,76199.99999999999,116220627.14405559,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,228.143405172141,240.143405172141,208.5,128.0,12.7,6.7,227.6044776119403
flow03,flow03_Bscan000,z_plus_1px,1974710367815.5127,1153576934429.944,0.5841752558913577,1153576934429.944,15320.188593750001,76199.99999999999,76199.99999999999,128895956.8435804,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,228.143405172141,240.143405172141,210.5,128.0,12.7,6.7,229.6044776119403
flow03,flow03_Bscan000,background_skip_plus_2px,1971995482285.7747,1193509970791.7842,0.60522956645335,1193509970791.7844,15320.188593750001,76199.99999999999,76199.99999999999,128718747.17588443,True,True,True,True,,True,ok,0.0,500.0,152.39999999999998,228.143405172141,240.143405172141,209.5,128.0,12.7,6.7,228.6044776119403
