scan_id,diameter_um,flow_mm_s,grid_scope,region,metric,n,median,min,max,p5,p10,p90,p95,p99,mad
D235_F07_V01,235,7,common_grid,tail100,bg_mean,444,23530.109603629193,18733.58243832177,27335.355276785245,21239.075365918045,21644.60640328439,25421.204482080189,26256.072058407663,27041.865749768989,1061.0326621225922
D235_F07_V01,235,7,common_grid,tail100,bg_sd,444,13984.924366367486,10293.329843206549,22918.133910009208,11696.868680816639,12161.50461714919,16658.672120480933,18344.669308878056,21529.359052994037,1085.0995230757035
D235_F10_V01,235,10,common_grid,source,sbr,461,0.8890968332625302,0.69493047548671616,1.1853907910670105,0.78041928842605124,0.79898206557370788,0.98986946641611462,1.0277796756962101,1.0961762139237532,0.05211048443626054
D235_F10_V01,235,10,common_grid,source,contrast,461,-0.05870697826851818,-0.17998940306131439,0.084831871638158557,-0.12333089907606276,-0.11173982124284609,-0.0050910543404292519,0.01369955327453031,0.045880484268725791,0.028987552016293328
D235_F10_V01,235,10,common_grid,source,real_mean,461,35004.008092854179,29745.884744339899,41791.983645925138,31578.92953492012,32149.748133677185,38263.399647650891,38990.591674805437,40026.027686121837,1642.4024823832515
D235_F10_V01,235,10,common_grid,source,bg_mean,461,39330.432211460902,31774.930744029269,47182.77772021063,34903.115655138186,36100.896974080082,43099.660233403891,44249.661601932348,46471.583937604468,1800.5308724305796
D235_F10_V01,235,10,common_grid,source,bg_sd,461,27988.601292285923,20067.991904311977,48368.016667501011,23256.025147990513,24566.555283004174,34059.871259415013,36723.91942954874,42513.872484891792,2060.5409807285432
D235_F10_V01,235,10,common_grid,tail100,sbr,461,0.76609899694333561,0.61818285363294789,1.0563114914161709,0.68394113971697656,0.69715001646181296,0.87824022622769637,0.914798261266899,0.9736073034935887,0.039373409351125432
D235_F10_V01,235,10,common_grid,tail100,contrast,461,-0.13243934992403431,-0.23595426531052563,0.027384708810526261,-0.18768996898320578,-0.17844620723014401,-0.064826517967219222,-0.044496457123753864,-0.01337355132099914,0.025356686088170627
D235_F10_V01,235,10,common_grid,tail100,real_mean,461,18039.998883152286,15828.149804226554,24711.361464780759,16483.645770897292,16845.884363710044,19636.620816066581,20499.283862406046,22805.478976765113,667.5374018794937
D235_F10_V01,235,10,common_grid,tail100,bg_mean,461,23407.701424486582,19343.736505952977,28011.169357089137,21211.934482204877,21600.832933934067,25267.076452624715,25875.804164281551,26795.425051821658,939.25915077500395
D235_F10_V01,235,10,common_grid,tail100,bg_sd,461,13999.868693349128,10161.059972588768,22159.500082271989,11928.557437081789,12292.767057969821,16866.379373520074,18076.68256247478,21730.051892014144,1119.837024970484
D285_F01_V01,285,1,common_grid,source,sbr,453,0.82470927778777314,0.66396898204484955,1.0244289475709998,0.74283230095478658,0.76114086139081449,0.905550400651154,0.92180637021253742,0.95331946640527088,0.036820752839367699
D285_F01_V01,285,1,common_grid,source,contrast,453,-0.09606501394279339,-0.20194548190567974,0.01206708074408375,-0.14755738005274863,-0.13562752375523077,-0.049565607276192712,-0.040687573732453942,-0.02390222390914376,0.021817908837907976
D285_F01_V01,285,1,common_grid,source,real_mean,453,34820.338732041331,28241.807791863834,58947.496808313197,31929.548272056694,32609.997716709455,38924.819206644112,39868.854879403341,41230.365124708005,1531.2385550080726
D285_F01_V01,285,1,common_grid,source,bg_mean,453,42126.658702628665,35065.951533651038,68088.02597168964,37734.633580441368,38605.088137866769,47612.11371678234,48630.1411150188,52909.610464224912,2273.1655413726112
D285_F01_V01,285,1,common_grid,source,bg_sd,453,30407.979853417695,23993.573459387448,60543.615856630917,25602.410961790159,26275.266441027092,37744.783382618181,39246.087710363448,44577.664224998203,2801.0565636839383
D285_F01_V01,285,1,common_grid,tail100,sbr,453,0.77871312482878041,0.59552769436406894,0.9814471358672795,0.68164317125896967,0.7098713890520767,0.84736161871449567,0.86671434628446742,0.89908243910742291,0.038858245598213714
D285_F01_V01,285,1,common_grid,tail100,contrast,453,-0.124408411948116,-0.25350378251951428,-0.0093632899898688886,-0.18931305619642291,-0.16967861607134704,-0.082625071112132104,-0.071401209044822916,-0.053154852672127072,0.024951122418549798
D285_F01_V01,285,1,common_grid,tail100,real_mean,453,17545.502062078183,14550.5710111969,24398.002134191345,16075.431562118383,16422.966755987582,18731.377750837462,19194.552664408639,20129.868839832099,603.18900039012806
D285_F01_V01,285,1,common_grid,tail100,bg_mean,453,22604.898319929169,19653.257567630069,30514.092722132315,20514.193722690008,20821.994491022149,24569.515647189539,25138.544968188544,26171.932312890647,1020.8373112386507
D285_F01_V01,285,1,common_grid,tail100,bg_sd,453,12970.538609210183,10047.95630198923,20600.006364422323,10855.602158259784,11128.256561494582,15418.443268211373,16308.117591740698,17816.785323437623,1086.1270333107041
D285_F03_V01,285,3,common_grid,source,sbr,474,0.8298254732339273,0.67938153159077175,1.0548852341145571,0.73990435039105384,0.76654663996769867,0.90154830912314177,0.92077641899751139,0.97717532704533216,0.039023670148213008
D285_F03_V01,285,3,common_grid,source,contrast,474,-0.093000416285342863,-0.19091460896650844,0.026709634778317403,-0.14948849799140762,-0.13215238973962612,-0.051774489863773178,-0.041245603364726879,-0.011544428303819599,0.023299759059777825
D285_F03_V01,285,3,common_grid,source,real_mean,474,35328.088943220253,29415.304027185397,81218.229621115082,31414.121723571345,32479.198254745257,39344.135663387009,41120.186063325782,43572.695611126219,1704.5628307823608
D285_F03_V01,285,3,common_grid,source,bg_mean,474,42666.790322522676,35151.196443384644,82051.450242673498,37749.741485085215,38825.382062240365,48332.283644553689,49437.050676615465,52344.383942319408,2398.2490939172312
D285_F03_V01,285,3,common_grid,source,bg_sd,474,30911.269134764902,23452.343041045388,65791.868065838513,25526.139303161995,26211.91869223498,38558.140731269217,41400.005118155263,47103.845865758754,2996.7816271026659
D285_F03_V01,285,3,common_grid,tail100,sbr,474,0.77386285807852417,0.62799633750558692,1.4271393430721688,0.68445083198952217,0.70639556816438831,0.84374948739459044,0.86814674534031266,0.9008603032547996,0.036400027153283221
