scan_id,diameter_um,flow_mm_s,grid_scope,valid_frames,source_z,source_sbr,source_z_p10,source_z_p90,source_z_gt3,proximal_z,valid_fraction,z_top_jitter,X1_jitter,X4_jitter,background_median,background_mad,background_rcv,background_drift,background_trend_amplitude,negative_control_rho,real_high_rho,real_map_rho,real_peak_rho,real_specificity,real_high_specificity,excess_high_rho,high_source_u,high_tail_depth_um,source_peak_coupling_bin,source_peak_detectability_bin,high_tail_z_median,high_source_z_median,structural_source_sbr
D285_F01_V01,285,1,common_grid,453,4.5541666272674002,8.193510418813478,3.7703033050436572,5.4602457550058467,0.99558498896247238,1.0035559013579904,0.90600000000000003,0,2,0.39061753173476177,15092109.136946792,641145.24653590471,0.062984035822208184,-0.12144159389960764,0.18146647756788303,0.031308375484508821,0.18248821501655188,0.033300548813350178,0.28889411271493404,0.024314775210569378,0.14128072956660168,0.15498527464895062,0.41666666666666669,37.5,3,2,1.125856474675762,6.5771180723435361,0.82470927778777314
D285_F03_V01,285,3,common_grid,474,4.5041843604880683,8.3048993051970648,3.736877503993826,5.5608275308059838,0.99156118143459915,0.99667267647699587,0.94799999999999995,0,2,0.41182990504125883,15265245.791436357,603294.01458618324,0.058593468997875466,-0.097591344667818006,2.0659507127661545,0.018476410573705051,0.15571531030145219,0.045868302587755885,0.19763862039921917,0.04461690293584545,0.16053080000754313,0.12387475453797539,0.75,50,5,2,0.97921339133607577,2.7992133896414364,0.8298254732339273
D285_F05_V01,285,5,common_grid,492,4.4689708995004072,8.2535198953112552,3.6768789659030392,5.4771834902815391,0.99593495934959353,0.98197707575531734,0.98399999999999999,0,2,0.42403302824550337,15575673.791007958,618895.63232747838,0.058910752549173662,-0.096257349111893042,0.14374727181859745,0.029056715185035668,0.15972041163223122,0.030263258816438453,0.22147246137859805,0.020078368462662644,0.14993710557689438,0.12966466877966654,0.5,37.5,3,2,1.1262447669478672,5.3218497836536134,0.83517245554461383
D285_F07_V01,285,7,common_grid,458,3.7296662331207626,6.7815588968664926,3.1279889309191726,4.4271105689331698,0.93449781659388642,0.79692679500265973,0.91600000000000004,0,2,0.39847876037964625,18566692.8011383,744504.75785103068,0.059450693013150153,-0.088859942221673816,0.14554505064576073,0.018740853468663839,0.16686283891944084,0.03606530159255196,0.25936704730940241,0.029397182070243912,0.14643792088271049,0.14803581015218742,0.41666666666666669,37.5,3,1,0.88450249317678664,5.1998576239554435,0.81854557238979631
D285_F10_V01,285,10,common_grid,494,4.5365003120139482,8.342664946697214,3.7569656494074728,5.4847044433614887,0.99595141700404854,1.0295186102363236,0.98799999999999999,0,2,0.42828289813510878,14657857.785622805,576175.29481468536,0.058278467739681122,-0.064337662350061636,0.09974607107830305,0.028189837677438531,0.22360062930770763,0.044218329178100417,0.33745873733590515,0.044529535879930235,0.2210417950527164,0.164727008474088,0.58333333333333337,37.5,4,2,1.1400070051665925,4.0151568642614528,0.82787666666844029
D500_F01_V01,500,1,common_grid,500,1.5909626135058921,4.2252126761416333,1.4004126350289889,1.8110371865542692,0,0.26711223400184214,1,0,2,0.81089073154947755,15761031.19131873,638053.62233527377,0.060020076668291053,-0.16277951232136087,0.18420799098415888,0.023167419749653237,0.14756662209076354,0.034435291179703537,0.19273194404204563,0.028062940043561309,0.14139724202523071,0.11497672852503689,0.75,87.5,6,1,0.16541290228138422,0.80393232938702375,0.43843772147757409
D500_F02_V01,500,2,d500_extension,493,1.5192245550095882,4.0207274555186041,1.3255310814969929,1.6895754911400607,0,0.25102310008562823,0.98599999999999999,0,2,0.72946468678098597,16500505.289995139,787294.87056401558,0.07073985642160617,-0.18446688364657401,0.19903757838527839,0.021981277180759699,0.12679709198608186,0.041816864917843762,0.17640583737624038,0.036537272480707268,0.10472388878613077,0.096613980971012939,0.75,125,5,1,0.090224280579583455,0.76710386226058547,0.43197115053983698
D500_F03_V01,500,3,common_grid,490,1.5363894971384073,4.080061698549331,1.3208266496112684,1.7278589021803255,0,0.25777685327225108,0.97999999999999998,0,2,0.75934402653939514,16370359.997140244,641307.60274808947,0.058080741779680721,-0.15117408796049092,0.17513985857754064,0.022555018132483763,0.11689055341354292,0.025140814367918637,0.20987300687381044,0.027417103218296369,0.1188105277604055,0.10060355954562274,0.58333333333333337,137.5,2,1,0.068256449023122681,0.94500742870329679,0.4345269811450293
D500_F05_V01,500,5,common_grid,471,1.3784992966552716,3.6764954388229736,1.2032203184861796,1.5830286170951811,0,0.24265004362525272,0.94199999999999995,0,2,0.74376644705094463,17850365.523089007,681381.14014688134,0.056593556982072843,-0.14791933971308469,0.16839093459777052,0.012220255710922872,0.11552683215072664,0.0013085173921391887,0.13694931255054132,0.00029220678641996229,0.11854275946730868,0.07347715729950717,0.41666666666666669,62.5,2,1,0.1952988924055086,1.3009558439912536,0.44514293822351064
D500_F07_V01,500,7,common_grid,477,1.3301931438029575,3.6354692483631634,1.1444456530979854,1.5405971890350938,0,0.23032317359118581,0.95399999999999996,0,2,0.86322228532520739,18465438.181948438,905478.61527434736,0.072701366833424,-0.20280621080725464,0.25712683227872984,0.049251005909581952,0.12957288537737885,0.0054940925313524975,0.13233173103243945,0.0057623366824371761,0.12498639464365131,0.080891064031168247,0.75,112.5,2,1,0.090931884962948142,0.68048054394664337,0.44554915781339299
