scan_id,frame_index,region,side,mean_relative_error
D500_F07_V01,249,tail500,real,0
D500_F07_V01,249,tail500,left,0
D500_F07_V01,249,tail500,right,0
D500_F09_V01,249,source,real,0
D500_F09_V01,249,source,left,0
D500_F09_V01,249,source,right,0
D500_F09_V01,249,t01,real,0
D500_F09_V01,249,t01,left,0
D500_F09_V01,249,t01,right,0
D500_F09_V01,249,tail100,real,0
D500_F09_V01,249,tail100,left,0
D500_F09_V01,249,tail100,right,0
D500_F09_V01,249,tail500,real,0
D500_F09_V01,249,tail500,left,0
D500_F09_V01,249,tail500,right,0
D500_F10_V01,249,source,real,0
D500_F10_V01,249,source,left,0
D500_F10_V01,249,source,right,0
D500_F10_V01,249,t01,real,0
D500_F10_V01,249,t01,left,0
D500_F10_V01,249,t01,right,0
D500_F10_V01,249,tail100,real,0
D500_F10_V01,249,tail100,left,0
D500_F10_V01,249,tail100,right,0
D500_F10_V01,249,tail500,real,0
D500_F10_V01,249,tail500,left,0
D500_F10_V01,249,tail500,right,0
D500_F12_V01,249,source,real,0
D500_F12_V01,249,source,left,0
D500_F12_V01,249,source,right,0
D500_F12_V01,249,t01,real,0
D500_F12_V01,249,t01,left,0
D500_F12_V01,249,t01,right,0
D500_F12_V01,249,tail100,real,0
D500_F12_V01,249,tail100,left,0
D500_F12_V01,249,tail100,right,0
D500_F12_V01,249,tail500,real,0
D500_F12_V01,249,tail500,left,0
D500_F12_V01,249,tail500,right,0
