diameter,predictor,outcome,n_volumes,spearman,interpretation
pooled_20,z_top_jitter,real_peak_rho,20,,potentially confounded by diameter; exploratory only
pooled_20,z_top_jitter,real_specificity,20,,potentially confounded by diameter; exploratory only
pooled_20,X1_jitter,real_high_rho,20,,potentially confounded by diameter; exploratory only
pooled_20,X1_jitter,real_map_rho,20,,potentially confounded by diameter; exploratory only
pooled_20,X1_jitter,real_peak_rho,20,,potentially confounded by diameter; exploratory only
pooled_20,X1_jitter,real_specificity,20,,potentially confounded by diameter; exploratory only
pooled_20,valid_fraction,real_high_rho,20,-0.097817935892652724,potentially confounded by diameter; exploratory only
pooled_20,valid_fraction,real_map_rho,20,0.15425136044610621,potentially confounded by diameter; exploratory only
pooled_20,valid_fraction,real_peak_rho,20,-0.015801358874966934,potentially confounded by diameter; exploratory only
pooled_20,valid_fraction,real_specificity,20,0.13845000157113929,potentially confounded by diameter; exploratory only
pooled_20,negative_control_rho,real_high_rho,20,0.37593984962406019,potentially confounded by diameter; exploratory only
pooled_20,negative_control_rho,real_map_rho,20,0.066165413533834538,potentially confounded by diameter; exploratory only
pooled_20,negative_control_rho,real_peak_rho,20,0.33834586466165417,potentially confounded by diameter; exploratory only
pooled_20,negative_control_rho,real_specificity,20,-0.055639097744360905,potentially confounded by diameter; exploratory only
