scan_id,diameter_um,flow_mm_s,grid_scope,real_map_median,real_high_median,real_peak,real_map_specificity,real_high_specificity,real_peak_pm2_count,control_map_median,control_high_median,excess_map_median,excess_high_median,high_cells_both_sides,real_high_cell_count,high_fraction_real_gt_both,left_map_median,left_high_at_real_region,left_specificity,left_similarity,right_map_median,right_high_at_real_region,right_specificity,right_similarity
D285_F01_V01,285,1,common_grid,0.033300548813350178,0.18248821501655188,0.28889411271493404,0.024314775210569378,0.14128072956660168,15,0.031308375484508821,0.063447716745222593,-0.00083956517073939356,0.15498527464895062,9,9,1,0.030129321694770388,0.060260200890862883,0.030608962989867261,0.22094589902076536,0.035805198494309715,0.055173487458959503,0.032739045225597257,0.16756024723939167
D285_F03_V01,285,3,common_grid,0.045868302587755885,0.15571531030145219,0.19763862039921917,0.04461690293584545,0.16053080000754313,35,0.018476410573705051,0.022440153698716863,0.032650171369554323,0.12387475453797539,10,10,1,0.015710689290019952,-0.0053116579841561819,0.013529842079736336,0.0081463990554899689,0.019248553732625052,0.049212899016377987,0.018544162563717888,0.21470935481630668
D285_F05_V01,285,5,common_grid,0.030263258816438453,0.15972041163223122,0.22147246137859805,0.020078368462662644,0.14993710557689438,24,0.029056715185035668,0.032371672322757332,0.0020740604289890326,0.12966466877966654,8,8,1,0.031524272807594303,0.040488961549310337,0.027094721743348024,0.037252586985207316,0.033157461417871681,0.058966565536010686,0.032982601582154658,0.12239738870754914
D285_F07_V01,285,7,common_grid,0.03606530159255196,0.16686283891944084,0.25936704730940241,0.029397182070243912,0.14643792088271049,24,0.018740853468663839,0.02934362115430408,0.01994246188653654,0.14803581015218742,9,9,1,0.01221782915054551,0.017171685913365632,0.015937110028907298,-0.070810472949510386,0.019774659089988454,0.050469001309957337,0.019994903454490221,0.15691367456073341
D285_F10_V01,285,10,common_grid,0.044218329178100417,0.22360062930770763,0.33745873733590515,0.044529535879930235,0.2210417950527164,37,0.028189837677438531,0.078264638362330066,0.023722340948601629,0.164727008474088,10,10,1,0.038099009949592311,0.055371123249653459,0.034540606523342135,0.05960830613237033,0.027781555309818316,0.08269461101917322,0.028497216425077746,0.054080144454476023
D500_F01_V01,500,1,common_grid,0.034435291179703537,0.14756662209076354,0.19273194404204563,0.028062940043561309,0.14139724202523071,24,0.023167419749653237,0.024475049882582547,0.014990393634513603,0.11497672852503689,9,9,1,0.031494549986213781,0.047096920332740946,0.028447574967982871,-0.022571011875824699,0.016769317538256362,0.024533159891926434,0.018809370027421654,0.031536912285575404
D500_F02_V01,500,2,d500_extension,0.041816864917843762,0.12679709198608186,0.17640583737624038,0.036537272480707268,0.10472388878613077,26,0.021981277180759699,0.026132440578504276,0.019995741547631691,0.096613980971012939,10,10,1,0.019904120060490457,0.023869395971205829,0.022525504602443173,0.054587124105840705,0.026571829902299508,0.037049820109350359,0.02639750730266156,0.094513507882491854
D500_F03_V01,500,3,common_grid,0.025140814367918637,0.11689055341354292,0.20987300687381044,0.027417103218296369,0.1188105277604055,13,0.022555018132483763,0.023331461631475918,0.0071722780690859937,0.10060355954562274,9,9,0.88888888888888884,0.017342170420013653,0.016924978232683949,0.018689642917032286,-0.065553163414125981,0.022420909781504853,0.046484570771635154,0.019824471502944401,0.070324328078338785
D500_F05_V01,500,5,common_grid,0.0013085173921391887,0.11552683215072664,0.13694931255054132,0.00029220678641996229,0.11854275946730868,3,0.012220255710922872,0.03927022089413415,-0.0040489376768977452,0.07347715729950717,7,7,1,0.020018422098041964,0.019996881301532744,0.024674415555473568,-0.073914855198277674,-0.0031309816184121133,0.064753461286790992,-0.0044801372815888325,0.15161469546496284
D500_F07_V01,500,7,common_grid,0.0054940925313524975,0.12957288537737885,0.13233173103243945,0.0057623366824371761,0.12498639464365131,15,0.049251005909581952,0.048681821346210609,-0.045278210964984487,0.080891064031168247,7,7,1,0.050659149628590971,0.070985760417512325,0.047329345806667172,0.022848808945065628,0.044498219139439216,0.044376289034223561,0.045149776904313141,-0.0077088686714355016
D500_F09_V01,500,9,d500_extension,0.0052577885079668242,0.11057925669921327,0.13448293026612276,0.0024482446975751587,0.11041030651576655,8,0.027318093443305845,0.050730008655103229,-0.024190708578003654,0.059849248044110043,7,7,0.5714285714285714,0.017260372929588066,-0.014458379535135724,0.013463342614247916,-0.033502326550454896,0.037495610130080299,0.022254427309472434,0.03830866218661258,0.029342315438572124
D500_F10_V01,500,10,common_grid,0.0049456652275886963,0.11675241850700249,0.1978579632524661,0.0090055364005974109,0.11899695802496435,10,0.027300303483956827,0.018791374168891806,-0.026073594949196567,0.098499982211893683,7,7,0.8571428571428571,0.022265201688010057,0.033906511546604894,0.01939214626049918,-0.1003611361900132,0.027827212083526266,0.037571560342533929,0.028643196082431661,0.049940968122786339
D500_F12_V01,500,12,d500_extension,0.0045485243673389457,0.10323694578049453,0.11988636194558205,0.0069445096350778807,0.098271894600009138,8,0.017851494275903816,-0.0008958685190081795,-0.014402208319706285,0.106745664374145,7,7,1,0.024160067869794622,-0.016976694695542745,0.023736915235299333,-0.12775192721716788,0.014636546254861963,0.021307169354142379,0.017700422999341985,-0.03487742204319743
