scan_id,diameter_um,flow_mm_s,grid_scope,mode,tail_bin,side,rho,n_pairs
D128_F03_V01,128,3,common_grid,raw,11,bg,0.10257311695516813,468
D128_F03_V01,128,3,common_grid,raw,11,left,0.14794488858856525,468
D128_F03_V01,128,3,common_grid,raw,11,right,-0.011564878387084275,468
D128_F03_V01,128,3,common_grid,raw,12,bg,0.023073094887470544,468
D128_F03_V01,128,3,common_grid,raw,12,left,0.033700476603733341,468
D128_F03_V01,128,3,common_grid,raw,12,right,-0.025233270782824949,468
D128_F03_V01,128,3,common_grid,raw,13,bg,0.086545880850588564,468
D128_F03_V01,128,3,common_grid,raw,13,left,0.076597154004549556,468
D128_F03_V01,128,3,common_grid,raw,13,right,0.0677422122978069,468
D128_F03_V01,128,3,common_grid,raw,14,bg,0.086280483129215893,468
D128_F03_V01,128,3,common_grid,raw,14,left,0.083889796376612771,468
D128_F03_V01,128,3,common_grid,raw,14,right,0.040550711393499583,468
D128_F03_V01,128,3,common_grid,raw,15,bg,0.015351507984701756,468
D128_F03_V01,128,3,common_grid,raw,15,left,0.045605209240991776,468
D128_F03_V01,128,3,common_grid,raw,15,right,-0.015709859297062471,468
D128_F03_V01,128,3,common_grid,raw,16,bg,0.098154192212807037,468
D128_F03_V01,128,3,common_grid,raw,16,left,0.050176442071357207,468
D128_F03_V01,128,3,common_grid,raw,16,right,0.087160147213200992,468
D128_F03_V01,128,3,common_grid,raw,17,bg,0.12404200144300497,468
D128_F03_V01,128,3,common_grid,raw,17,left,0.11053551687640341,468
D128_F03_V01,128,3,common_grid,raw,17,right,0.078240231648777775,468
D128_F03_V01,128,3,common_grid,raw,18,bg,0.079273608660933262,468
D128_F03_V01,128,3,common_grid,raw,18,left,0.095371203843830007,468
D128_F03_V01,128,3,common_grid,raw,18,right,0.0053876791068775305,468
D128_F03_V01,128,3,common_grid,raw,19,bg,0.15294834391002371,468
D128_F03_V01,128,3,common_grid,raw,19,left,0.11981343254314582,468
D128_F03_V01,128,3,common_grid,raw,19,right,0.10376488969604759,468
D128_F03_V01,128,3,common_grid,raw,20,bg,0.07028649490856656,468
D128_F03_V01,128,3,common_grid,raw,20,left,0.034550990254272551,468
D128_F03_V01,128,3,common_grid,raw,20,right,0.092125086500106451,468
D128_F03_V01,128,3,common_grid,detrended_51,1,bg,-0.024703559394552082,468
D128_F03_V01,128,3,common_grid,detrended_51,1,left,0.03163977643847711,468
D128_F03_V01,128,3,common_grid,detrended_51,1,right,-0.036110500231137897,468
D128_F03_V01,128,3,common_grid,detrended_51,2,bg,0.035796480455782861,468
D128_F03_V01,128,3,common_grid,detrended_51,2,left,0.050709187155275878,468
D128_F03_V01,128,3,common_grid,detrended_51,2,right,0.027800098415439622,468
D128_F03_V01,128,3,common_grid,detrended_51,3,bg,0.033060038824172931,468
D128_F03_V01,128,3,common_grid,detrended_51,3,left,-0.01443123961240444,468
D128_F03_V01,128,3,common_grid,detrended_51,3,right,0.038953339686051351,468
D128_F03_V01,128,3,common_grid,detrended_51,4,bg,0.049522541152519139,468
D128_F03_V01,128,3,common_grid,detrended_51,4,left,0.04907205526462155,468
D128_F03_V01,128,3,common_grid,detrended_51,4,right,0.047024083056952444,468
D128_F03_V01,128,3,common_grid,detrended_51,5,bg,0.052903176108179607,468
D128_F03_V01,128,3,common_grid,detrended_51,5,left,0.045279668887453113,468
D128_F03_V01,128,3,common_grid,detrended_51,5,right,0.040344641847688621,468
D128_F03_V01,128,3,common_grid,detrended_51,6,bg,0.13008628345683318,468
D128_F03_V01,128,3,common_grid,detrended_51,6,left,0.10095121866517377,468
D128_F03_V01,128,3,common_grid,detrended_51,6,right,0.086905445896658051,468
D128_F03_V01,128,3,common_grid,detrended_51,7,bg,0.011321032043521405,468
D128_F03_V01,128,3,common_grid,detrended_51,7,left,-0.023539687813183913,468
D128_F03_V01,128,3,common_grid,detrended_51,7,right,0.06581548536765823,468
D128_F03_V01,128,3,common_grid,detrended_51,8,bg,0.089225164895014461,468
D128_F03_V01,128,3,common_grid,detrended_51,8,left,0.073799965168589679,468
D128_F03_V01,128,3,common_grid,detrended_51,8,right,0.076273345337276199,468
D128_F03_V01,128,3,common_grid,detrended_51,9,bg,0.0055610476483954549,468
D128_F03_V01,128,3,common_grid,detrended_51,9,left,0.055159022465258896,468
D128_F03_V01,128,3,common_grid,detrended_51,9,right,-0.048448953540046254,468
D128_F03_V01,128,3,common_grid,detrended_51,10,bg,0.03038552434875955,468
D128_F03_V01,128,3,common_grid,detrended_51,10,left,0.033283171288786002,468
D128_F03_V01,128,3,common_grid,detrended_51,10,right,-0.017207347673144201,468
D128_F03_V01,128,3,common_grid,detrended_51,11,bg,0.014186088897469553,468
D128_F03_V01,128,3,common_grid,detrended_51,11,left,0.056949506898834462,468
D128_F03_V01,128,3,common_grid,detrended_51,11,right,-0.075955131796391781,468
D128_F03_V01,128,3,common_grid,detrended_51,12,bg,-0.031041840729515553,468
D128_F03_V01,128,3,common_grid,detrended_51,12,left,-0.022270768839734202,468
D128_F03_V01,128,3,common_grid,detrended_51,12,right,-0.075183505394635183,468
D128_F03_V01,128,3,common_grid,detrended_51,13,bg,0.029429111070466314,468
D128_F03_V01,128,3,common_grid,detrended_51,13,left,0.034718161920051227,468
D128_F03_V01,128,3,common_grid,detrended_51,13,right,0.0079546540120340944,468
D128_F03_V01,128,3,common_grid,detrended_51,14,bg,0.0062549442042000684,468
D128_F03_V01,128,3,common_grid,detrended_51,14,left,0.0029978168454762675,468
D128_F03_V01,128,3,common_grid,detrended_51,14,right,-0.0040681312325488274,468
D128_F03_V01,128,3,common_grid,detrended_51,15,bg,-0.05267231355617838,468
D128_F03_V01,128,3,common_grid,detrended_51,15,left,-0.042281544009812759,468
D128_F03_V01,128,3,common_grid,detrended_51,15,right,-0.028478763486372183,468
D128_F03_V01,128,3,common_grid,detrended_51,16,bg,0.0086473225205167571,468
D128_F03_V01,128,3,common_grid,detrended_51,16,left,-0.037110118525869484,468
D128_F03_V01,128,3,common_grid,detrended_51,16,right,0.041640000118358576,468
D128_F03_V01,128,3,common_grid,detrended_51,17,bg,0.069434890529466955,468
D128_F03_V01,128,3,common_grid,detrended_51,17,left,0.046081575202003976,468
D128_F03_V01,128,3,common_grid,detrended_51,17,right,0.036880338973566067,468
D128_F03_V01,128,3,common_grid,detrended_51,18,bg,-0.011240619451606919,468
D128_F03_V01,128,3,common_grid,detrended_51,18,left,0.018951103775895158,468
D128_F03_V01,128,3,common_grid,detrended_51,18,right,-0.047678976449935975,468
D128_F03_V01,128,3,common_grid,detrended_51,19,bg,0.075447583769337495,468
D128_F03_V01,128,3,common_grid,detrended_51,19,left,0.066428355454242333,468
D128_F03_V01,128,3,common_grid,detrended_51,19,right,0.024126178643036639,468
D128_F03_V01,128,3,common_grid,detrended_51,20,bg,-0.0032683696381204225,468
D128_F03_V01,128,3,common_grid,detrended_51,20,left,-0.026558733423462606,468
D128_F03_V01,128,3,common_grid,detrended_51,20,right,0.032473177305659025,468
D128_F05_V01,128,5,common_grid,raw,1,bg,0.087250245585293873,491
D128_F05_V01,128,5,common_grid,raw,1,left,0.049542030313690207,491
D128_F05_V01,128,5,common_grid,raw,1,right,0.10218254109055079,491
D128_F05_V01,128,5,common_grid,raw,2,bg,0.10130137395974737,491
D128_F05_V01,128,5,common_grid,raw,2,left,0.044884070562306685,491
