scan_id,diameter_um,flow_mm_s,grid_scope,region,side,n,median,min,max,p5,p10,p90,p95,p99,mad
D285_F01_V01,285,1,common_grid,s6,right,453,129.13778961620295,89.2937824267064,153.03515260330929,113.21036408100596,117.14246042159249,141.10954077951033,145.03096463525941,149.08149265661754,7.9049162955609233
D285_F01_V01,285,1,common_grid,s6,bg,453,258.2755792324059,178.5875648534128,306.07030520661857,226.42072816201193,234.28492084318498,282.21908155902065,290.06192927051882,298.16298531323508,15.809832591121847
D285_F01_V01,285,1,common_grid,t01,real,453,136.94474319462049,95.313292817491529,161.93398851442754,120.21167311291993,124.41015340525793,150.05860381724074,153.47816340337155,158.20291461475136,7.6668427569832431
D285_F01_V01,285,1,common_grid,t01,left,453,136.94474319462049,95.313292817491529,161.93398851442754,120.21167311291993,123.85616927290667,149.82002646413767,153.47816340337155,158.48614611178888,7.6668427569832431
D285_F01_V01,285,1,common_grid,t01,right,453,136.9447431946204,95.313292817491529,161.93398851442728,120.21167311291995,123.85616927290667,149.82002646413781,153.47816340337144,158.48614611178888,7.6668427569834989
D285_F01_V01,285,1,common_grid,t01,bg,453,273.88948638924086,190.62658563498306,323.86797702885485,240.42334622583991,247.7123385458134,299.64005292827551,306.95632680674299,316.97229222357777,15.333685513966827
D285_F01_V01,285,1,common_grid,t02,real,453,127.31338868206801,88.609887550015429,150.54513477217367,111.75715917329262,115.6603594047377,139.50494854499311,142.68400973825013,147.07646813693148,7.127631985821651
D285_F01_V01,285,1,common_grid,t02,left,453,127.31338868206801,88.609887550015429,150.54513477217367,111.75715917329262,115.14533710070155,139.28315039065885,142.68400973825013,147.33977989923909,7.127631985821651
D285_F01_V01,285,1,common_grid,t02,right,453,127.31338868206794,88.609887550015429,150.54513477217347,111.75715917329265,115.14533710070155,139.28315039065896,142.68400973825004,147.33977989923909,7.1276319858219495
D285_F01_V01,285,1,common_grid,t02,bg,453,254.62677736413599,177.21977510003089,301.09026954434717,223.51431834658527,230.29067420140311,278.56630078131781,285.36801947650019,294.67955979847818,14.255263971643558
D285_F01_V01,285,1,common_grid,t03,real,453,127.3133886820676,88.609887550015102,150.54513477217316,111.75715917329221,115.66035940473728,139.50494854499266,142.68400973824964,147.07646813693094,7.1276319858216084
D285_F01_V01,285,1,common_grid,t03,left,453,127.3133886820676,88.609887550015102,150.54513477217316,111.75715917329221,115.14533710070113,139.28315039065836,142.68400973824964,147.33977989923855,7.1276319858216084
D285_F01_V01,285,1,common_grid,t03,right,453,127.31338868206753,88.609887550015102,150.5451347721729,111.75715917329222,115.14533710070113,139.28315039065848,142.68400973824953,147.33977989923855,7.1276319858218784
D285_F01_V01,285,1,common_grid,t03,bg,453,254.62677736413505,177.2197751000302,301.09026954434609,223.51431834658445,230.29067420140225,278.56630078131684,285.36801947649911,294.6795597984771,14.255263971643586
D285_F01_V01,285,1,common_grid,t04,real,453,136.94474319462194,95.313292817492552,161.93398851442927,120.21167311292119,124.41015340525853,150.05860381724233,153.47816340337317,158.20291461475304,7.6668427569833
D285_F01_V01,285,1,common_grid,t04,left,453,136.94474319462194,95.313292817492552,161.93398851442927,120.21167311292119,123.85616927290802,149.8200264641392,153.47816340337317,158.48614611179056,7.6668427569833
D285_F01_V01,285,1,common_grid,t04,right,453,136.94474319462194,95.313292817492552,161.93398851442902,120.21167311292123,123.85616927290802,149.8200264641394,153.47816340337309,158.48614611179056,7.6668427569835274
D285_F01_V01,285,1,common_grid,t04,bg,453,273.88948638924381,190.62658563498505,323.86797702885826,240.42334622584241,247.71233854581601,299.64005292827864,306.95632680674623,316.97229222358112,15.333685513966941
D285_F01_V01,285,1,common_grid,t05,real,453,135.293922556057,94.164324647979981,159.9819313263352,118.76256373973993,122.91043283112734,148.24970020840729,151.62803820831363,156.29583420819813,7.5744216682974468
D285_F01_V01,285,1,common_grid,t05,left,453,135.293922556057,94.164324647979981,159.9819313263352,118.76256373973993,122.36312678234134,148.01399882125375,151.62803820831363,156.57565144931095,7.5744216682974468
D285_F01_V01,285,1,common_grid,t05,right,453,135.29392255605694,94.164324647979981,159.98193132633497,118.76256373973996,122.36312678234134,148.01399882125386,151.62803820831351,156.57565144931095,7.5744216682976457
D285_F01_V01,285,1,common_grid,t05,bg,453,270.58784511211394,188.32864929595993,319.96386265267023,237.52512747947986,244.72625356468268,296.02799764250767,303.25607641662714,313.15130289862191,15.148843336595121
D285_F01_V01,285,1,common_grid,t06,real,453,128.36503060154101,89.341828418073646,151.78867699611439,112.68030256460821,116.61574425177101,140.65729594052277,143.86261701147222,148.29135826641411,7.186508091944205
D285_F01_V01,285,1,common_grid,t06,left,453,128.36503060154101,89.341828418073646,151.78867699611439,112.68030256460821,116.09646772867767,140.43366567536987,143.86261701147222,148.55684505280993,7.186508091944205
D285_F01_V01,285,1,common_grid,t06,right,453,128.36503060154095,89.341828418073646,151.78867699611419,112.68030256460821,116.09646772867767,140.43366567537001,143.86261701147211,148.55684505280993,7.1865080919444608
D285_F01_V01,285,1,common_grid,t06,bg,453,256.73006120308196,178.68365683614729,303.57735399222855,225.36060512921651,232.19293545735533,280.8673313507399,287.72523402294433,297.11369010561987,14.373016183888694
D285_F01_V01,285,1,common_grid,t07,real,453,130.94431239350797,91.137003865934361,154.83861800394317,114.94442583366573,118.95894367606725,143.48357035986101,146.75329702660989,151.27102647114418,7.3309090193815223
D285_F01_V01,285,1,common_grid,t07,left,453,130.94431239350797,91.137003865934361,154.83861800394317,114.94442583366573,118.42923315490791,143.25544661647393,146.75329702660989,151.54184777295242,7.3309090193815223
D285_F01_V01,285,1,common_grid,t07,right,453,130.94431239350794,91.137003865934361,154.83861800394297,114.94442583366578,118.42923315490791,143.25544661647402,146.75329702660977,151.54184777295242,7.3309090193817781
