source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho,n_pairs,rho_peak,lag_at_peak,n_pairs_lag0,zero_lag_rank,peak_within_pm2,peak_within_pm5,rho_remote_median,zero_lag_specificity,pseudo_left_rho,pseudo_right_rho,control_rho,control_excess_rho,in_real_high_region
2,6,0.16666666666666666,0.33333333333333331,0.25,125,150,137.5,0.9765625,1.171875,1.07421875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.14434640154952766,486,0.14434640154952766,0,486,1,True,True,-0.0077152964090391914,0.15206169795856686,0.056096908440086045,0.041344542699437811,0.048720725569761925,0.095625675979765734,False
2,7,0.16666666666666666,0.33333333333333331,0.25,150,175,162.5,1.171875,1.3671875,1.26953125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.14848333656053914,486,0.14969793117383076,26,486,2,False,False,-0.028146433914273204,0.17662977047481235,0.010131843594107372,0.039533797131143501,0.024832820362625435,0.1236505161979137,False
2,8,0.16666666666666666,0.33333333333333331,0.25,175,200,187.5,1.3671875,1.5625,1.46484375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.13850845161862482,486,0.14561441483181367,42,486,2,False,False,0.017703819861606629,0.12080463175701819,0.011755105283634763,-0.035202046524022743,-0.01172347062019399,0.15023192223881882,False
2,9,0.16666666666666666,0.33333333333333331,0.25,200,225,212.5,1.5625,1.7578125,1.66015625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.13924570776971551,486,0.13924570776971551,0,486,1,True,True,-0.0025162634507270914,0.1417619712204426,0.076459029531001366,-0.05263815522987858,0.011910437150561393,0.12733527061915412,False
2,10,0.16666666666666666,0.33333333333333331,0.25,225,250,237.5,1.7578125,1.953125,1.85546875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.089069095297876252,486,0.1010531493843032,3,486,4,False,True,-0.0088748054686001304,0.097943900766476383,0.0028821173997647448,0.0073896575737312821,0.0051358874867480139,0.083933207811128244,False
2,11,0.16666666666666666,0.33333333333333331,0.25,250,275,262.5,1.953125,2.1484375,2.05078125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.18818749864444417,486,0.18818749864444417,0,486,1,True,True,-0.0041499444343523467,0.19233744307879652,0.0095518185621250931,0.083627843582894087,0.046589831072509594,0.14159766757193459,False
2,12,0.16666666666666666,0.33333333333333331,0.25,275,300,287.5,2.1484375,2.34375,2.24609375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.13213669964421276,486,0.1393120168978586,44,486,2,False,False,0.0059764596872091211,0.12616023995700365,0.025937895831997557,-0.046133625190958365,-0.010097864679480404,0.14223456432369316,False
2,13,0.16666666666666666,0.33333333333333331,0.25,300,325,312.5,2.34375,2.5390625,2.44140625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.056616075564856858,486,0.1485214025781067,2,486,12,True,True,0.00038309921207083271,0.056232976352786027,0.057652255014196782,0.01388492079298248,0.035768587903589631,0.020847487661267226,False
2,14,0.16666666666666666,0.33333333333333331,0.25,325,350,337.5,2.5390625,2.734375,2.63671875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.022714650325108283,486,0.18018321902857842,-20,486,30,False,False,-0.019624428245231612,0.042339078570339896,0.058874367233890147,-0.026884880463421468,0.01599474338523434,0.0067199069398739437,False
2,15,0.16666666666666666,0.33333333333333331,0.25,350,375,362.5,2.734375,2.9296875,2.83203125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,-0.0084856249817475693,486,0.11261890347455898,27,486,58,False,False,0.00077738716006836225,-0.0092630121418159315,0.06894049117398604,-0.03428974648131184,0.0173253723463371,-0.025810997328084669,False
2,16,0.16666666666666666,0.33333333333333331,0.25,375,400,387.5,2.9296875,3.125,3.02734375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.075379724159581815,486,0.10339709871384828,-21,486,5,False,False,-0.0070715574245459722,0.082451281584127789,0.1167984663399621,0.017864582802491862,0.067331524571226986,0.0080481995883548291,False
2,17,0.16666666666666666,0.33333333333333331,0.25,400,425,412.5,3.125,3.3203125,3.22265625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.061070055302583567,486,0.14086159670902643,-18,486,17,False,False,-0.0057429466458044027,0.066813001948387976,0.047635711507984631,0.016337391280902138,0.031986551394443383,0.029083503908140185,False
2,18,0.16666666666666666,0.33333333333333331,0.25,425,450,437.5,3.3203125,3.515625,3.41796875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.13401618053172715,486,0.13401618053172715,0,486,1,True,True,-0.0052872709691953249,0.13930345150092246,0.031435607597001015,-0.00286258118046126,0.014286513208269878,0.11972966732345727,False
2,19,0.16666666666666666,0.33333333333333331,0.25,450,475,462.5,3.515625,3.7109375,3.61328125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.018500909639177797,486,0.089592654517641812,26,486,37,False,False,-0.0052994430986518576,0.023800352737829655,-0.046153945867148077,-0.030045790338765418,-0.038099868102956749,0.056600777742134546,False
2,20,0.16666666666666666,0.33333333333333331,0.25,475,500,487.5,3.7109375,3.90625,3.80859375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,-0.029738070334327682,486,0.13197816705919971,-26,486,73,False,False,-0.0011073776367076498,-0.02863069269762003,0.042180566385063012,0.056922656236961723,0.049551611311012364,-0.079289681645340046,False
3,1,0.33333333333333331,0.5,0.41666666666666669,0,25,12.5,0,0.1953125,0.09765625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.34153048607935721,486,0.34153048607935721,0,486,1,True,True,0.016571310558071595,0.32495917552128561,0.067136601639652793,0.050428771387825366,0.05878268651373908,0.28274779956561813,True
3,2,0.33333333333333331,0.5,0.41666666666666669,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.3974469161630943,486,0.3974469161630943,0,486,1,True,True,-0.01694803446910137,0.41439495063219567,0.086906695554409163,-0.014695833227381647,0.036105431163513758,0.36134148499958052,True
3,3,0.33333333333333331,0.5,0.41666666666666669,50,75,62.5,0.390625,0.5859375,0.48828125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.19539441492272119,486,0.19539441492272119,0,486,1,True,True,-0.0096710160531840901,0.20506543097590529,0.0029445324599622117,0.050544992800377282,0.026744762630169748,0.16864965229255144,False
3,4,0.33333333333333331,0.5,0.41666666666666669,75,100,87.5,0.5859375,0.78125,0.68359375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.2253871926139302,486,0.2253871926139302,0,486,1,True,True,0.0051670827001865927,0.22022010991374361,0.062120089323027726,0.028355430850695695,0.045237760086861714,0.1801494325270685,False
3,5,0.33333333333333331,0.5,0.41666666666666669,100,125,112.5,0.78125,0.9765625,0.87890625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.29452430452567696,486,0.29452430452567696,0,486,1,True,True,0.0039310925134009838,0.290593212012276,0.037873438592199889,0.037449399590090929,0.037661419091145412,0.25686288543453156,True
3,6,0.33333333333333331,0.5,0.41666666666666669,125,150,137.5,0.9765625,1.171875,1.07421875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.22757893392167156,486,0.22757893392167156,0,486,1,True,True,-0.013504334332043075,0.24108326825371462,-0.038865899420320427,0.077304472949374869,0.019219286764527221,0.20835964715714433,True
3,7,0.33333333333333331,0.5,0.41666666666666669,150,175,162.5,1.171875,1.3671875,1.26953125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.23444395401480012,486,0.23444395401480012,0,486,1,True,True,-0.0064724020343961235,0.24091635604919623,-0.04070157318609377,0.058409115273651779,0.0088537710437790046,0.22559018297102112,True
3,8,0.33333333333333331,0.5,0.41666666666666669,175,200,187.5,1.3671875,1.5625,1.46484375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.15262247710280968,486,0.18581530825931727,1,486,2,True,True,-0.012630556725427376,0.16525303382823706,-0.0098361204136154096,-0.00095396361139276058,-0.0053950420125040855,0.15801751911531378,False
3,9,0.33333333333333331,0.5,0.41666666666666669,200,225,212.5,1.5625,1.7578125,1.66015625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.16327649491754379,486,0.16327649491754379,0,486,1,True,True,0.0051241737065211273,0.15815232121102266,0.020687281067003262,-0.073260472075500016,-0.026286595504248375,0.18956309042179215,False
3,10,0.33333333333333331,0.5,0.41666666666666669,225,250,237.5,1.7578125,1.953125,1.85546875,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.15067742050995622,486,0.15067742050995622,0,486,1,True,True,-0.015927289924966122,0.16660471043492234,0.035885577489867974,0.050168413859294228,0.043026995674581098,0.10765042483537512,False
3,11,0.33333333333333331,0.5,0.41666666666666669,250,275,262.5,1.953125,2.1484375,2.05078125,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.21146668903803367,486,0.21146668903803367,0,486,1,True,True,0.0095020027806990807,0.2019646862573346,0.043840573138673559,0.10792555332862144,0.075883063233647505,0.13558362580438615,False
3,12,0.33333333333333331,0.5,0.41666666666666669,275,300,287.5,2.1484375,2.34375,2.24609375,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.15848377498635441,486,0.15848377498635441,0,486,1,True,True,-0.0093746850897364238,0.16785846007609084,0.029878056525387782,-0.050685127051201255,-0.010403535262906737,0.16888731024926115,False
3,13,0.33333333333333331,0.5,0.41666666666666669,300,325,312.5,2.34375,2.5390625,2.44140625,D128_F01_V01,128,1,common_grid,absolute,6,detrended_51,mean,0.056517496014635661,486,0.094923795947191553,-28,486,10,False,False,-0.0099014787070751484,0.066418974721710808,0.031737584880720995,0.0068117615094780253,0.019274673195099512,0.037242822819536149,False
