scan_id,diameter_um,flow_mm_s,grid_scope,parameter,unit,n_adjacent_pairs,outlier_flag_fraction,n,median,min,max,p5,p10,p90,p95,p99,mad
D128_F10_V01,128,10,common_grid,X1,pixel,480,0,480,2,0,8,0,0,4.0000000000000018,5.0000000000000018,7,1
D128_F10_V01,128,10,common_grid,X1,um,480,0,480,25.399999999999999,0,101.59999999999999,0,0,50.800000000000018,63.500000000000021,88.899999999999991,12.699999999999999
D128_F10_V01,128,10,common_grid,z_top,pixel,480,0.072916666666666671,480,0,0,1,0,0,0,1,1,0
D128_F10_V01,128,10,common_grid,z_top,um,480,0.072916666666666671,480,0,0,6.7000000000000002,0,0,0,6.7000000000000002,6.7000000000000002,0
D235_F01_V01,235,1,common_grid,X4,pixel,414,0,414,0.42743050096129309,0.0014692275115351094,2.0007427810341483,0.035636472952440101,0.067102356122907769,0.95036677582927775,1.0996412297289218,1.5470608703903985,0.24185698306921211
D235_F01_V01,235,1,common_grid,X4,um,414,0,414,5.4283673622084221,0.018659189396495888,25.409433319133683,0.45258320649598927,0.8521999227609286,12.069658053031826,13.965443617557305,19.647673053958059,3.0715836849789935
D235_F01_V01,235,1,common_grid,X1,pixel,414,0.004830917874396135,414,2,0,14,0,0,5,6,8,1
D235_F01_V01,235,1,common_grid,X1,um,414,0.004830917874396135,414,25.399999999999999,0,177.79999999999998,0,0,63.5,76.199999999999989,101.59999999999999,12.699999999999999
D235_F01_V01,235,1,common_grid,z_top,pixel,414,0.079710144927536225,414,0,0,1,0,0,0,1,1,0
D235_F01_V01,235,1,common_grid,z_top,um,414,0.079710144927536225,414,0,0,6.7000000000000002,0,0,0,6.7000000000000002,6.7000000000000002,0
D235_F03_V01,235,3,common_grid,X4,pixel,411,0.0024330900243309003,411,0.34115214020238227,0.0020051342101794489,2.0268165770035012,0.043098565675094846,0.06583260163245086,0.88470830422664903,1.0577658476129415,1.3533303815849715,0.20306749148875269
D235_F03_V01,235,3,common_grid,X4,um,411,0.0024330900243309003,411,4.332632180570255,0.025465204469278999,25.740570527944463,0.54735178407370455,0.83607404073212588,11.235795463678443,13.433626264684356,17.187295846129139,2.5789571419071589
D235_F03_V01,235,3,common_grid,X1,pixel,411,0.0024330900243309003,411,2,0,11,0,0,5,6,7,1
D235_F03_V01,235,3,common_grid,X1,um,411,0.0024330900243309003,411,25.399999999999999,0,139.69999999999999,0,0,63.5,76.199999999999989,88.899999999999991,12.699999999999999
D235_F03_V01,235,3,common_grid,z_top,pixel,411,0.075425790754257913,411,0,0,1,0,0,0,1,1,0
