scan_id,diameter_um,flow_mm_s,grid_scope,side,mode,real_region_median_rho,real_region_median_specificity,map_median_specificity,peak_pm2_count,peak_pm5_count,similarity_to_real,rho_map_median,rho_map_min,rho_map_max,n_cells,n_positive_cells,n_negative_cells,u_peak,source_bin_peak,tail_bin_peak,tail_depth_peak_um,eta_peak,rho_peak_cell,specificity_at_peak,lag_at_peak_cell,peak_cell_lag_within_pm2,peak_cell_lag_within_pm5,high_positive_cells_available,high_target_count,high_actual_count,u_high_region_median,u_high_region_min,u_high_region_max,u_high_region_lo,u_high_region_hi,tail_high_region_median_um,tail_high_region_min_um,tail_high_region_max_um,tail_high_region_lo_um,tail_high_region_hi_um,eta_high_region_median,eta_high_region_lo,eta_high_region_hi,high_region_median_rho,high_region_median_specificity,high_region_peak_pm2_count,high_region_peak_pm5_count,high_region_positive_specificity_count
D128_F05_V01,128,5,common_grid,right,detrended_51,0.0031153200654388171,0.01198968547812479,0.024317759878017257,9,17,0.18597819293006462,0.023268225616855334,-0.1240676316061414,0.14353211585267256,120,85,35,0.58333333333333337,4,16,387.5,3.02734375,0.14353211585267256,0.13410801351463145,0,True,True,85,9,9,0.58333333333333337,0.083333333333333329,0.75,0,0.83333333333333337,112.5,62.5,387.5,50,400,0.87890625,0.390625,3.125,0.12347255928408703,0.11537187935096088,3,3,9
D128_F07_V01,128,7,common_grid,left,raw,0.1043222674468329,0.065998594204506711,0.060267489831601975,20,34,,0.094130656283856251,-0.082296517793995952,0.19926116815429845,120,119,1,0.91666666666666663,6,7,162.5,1.26953125,0.19926116815429845,0.17130648896073952,0,True,True,119,12,12,0.5,0.083333333333333329,0.91666666666666663,0,1,162.5,12.5,437.5,0,450,1.26953125,0,3.515625,0.17582087809364677,0.13210227780956951,8,9,12
D128_F07_V01,128,7,common_grid,right,raw,0.069363204944266607,0.0536424682956297,0.044721612961306639,11,25,,0.059777489173500592,-0.06087826590134901,0.15899906882390799,120,107,13,0.58333333333333337,4,3,62.5,0.48828125,0.15899906882390799,0.14239420377762485,0,True,True,107,11,11,0.58333333333333337,0.083333333333333329,0.75,0,0.83333333333333337,112.5,12.5,312.5,0,325,0.87890625,0,2.5390625,0.12576215130720175,0.12423695634711483,4,5,11
D128_F07_V01,128,7,common_grid,left,detrended_51,0.038667637631159393,0.035687121985003442,0.028343955335227586,12,18,0.075914994096812322,0.032761547176789502,-0.14002434454890461,0.18768570577885291,120,85,35,0.91666666666666663,6,7,162.5,1.26953125,0.18768570577885291,0.17619440762087041,0,True,True,85,9,9,0.75,0.083333333333333329,0.91666666666666663,0,1,162.5,12.5,337.5,0,350,1.26953125,0,2.734375,0.1243277565753593,0.11819488162859194,6,6,9
D128_F07_V01,128,7,common_grid,right,detrended_51,0.026994840974221883,0.026031359274949102,0.021817357264931572,4,13,0.31426487950552123,0.024680295059323926,-0.11098314094561154,0.10774836761580298,120,79,41,0.75,5,13,312.5,2.44140625,0.10774836761580298,0.11573173324765687,-2,True,True,79,8,8,0.5,0.25,0.75,0.16666666666666666,0.83333333333333337,150,12.5,387.5,0,400,1.171875,0,3.125,0.095367703129570811,0.10043464714163294,1,1,8
D128_F10_V01,128,10,common_grid,left,raw,0.12497643752278856,0.049362522383458424,0.037171086001764941,15,25,,0.095679586295290636,-0.039079684831691677,0.21218274004224039,120,110,10,0.41666666666666669,3,2,37.5,0.29296875,0.21218274004224039,0.12291328660750028,0,True,True,110,11,11,0.41666666666666669,0.25,0.91666666666666663,0.16666666666666666,1,137.5,37.5,287.5,25,300,1.07421875,0.1953125,2.34375,0.17742976635442304,0.12032598037561476,4,5,11
D128_F10_V01,128,10,common_grid,right,raw,0.12935691503802013,0.06960827264187909,0.031877789235036938,8,13,,0.074515957128727564,-0.044537394881716652,0.19460314755534996,120,113,7,0.75,5,2,37.5,0.29296875,0.19460314755534996,0.14228920757820185,1,True,True,113,12,12,0.66666666666666674,0.25,0.91666666666666663,0.16666666666666666,1,137.5,12.5,337.5,0,350,1.07421875,0,2.734375,0.17210118026710663,0.12100633644571013,4,4,12
D128_F10_V01,128,10,common_grid,left,detrended_51,0.06314576214536681,0.051543667259411195,0.027382475671438689,9,16,0.32746718522119594,0.027884847924780132,-0.11032703630661082,0.12351773748519218,120,82,38,0.91666666666666663,6,5,112.5,0.87890625,0.12351773748519218,0.1252186266095294,-7,False,False,82,9,9,0.41666666666666669,0.083333333333333329,0.91666666666666663,0,1,137.5,37.5,287.5,25,300,1.07421875,0.1953125,2.34375,0.10744499952836135,0.11045337657987866,1,1,9
D128_F10_V01,128,10,common_grid,right,detrended_51,0.058500524769955028,0.068243132176385071,0.021239563882437733,8,12,0.39673588443641927,0.024445871511023412,-0.10440509716001539,0.14112022599165655,120,85,35,0.75,5,2,37.5,0.29296875,0.14112022599165655,0.14209484926328123,1,True,True,85,9,9,0.75,0.25,0.91666666666666663,0.16666666666666666,1,137.5,37.5,337.5,25,350,1.07421875,0.1953125,2.734375,0.12217209524370351,0.11942884470394571,5,5,9
D235_F01_V01,235,1,common_grid,left,raw,0.12746359492811338,0.083172811895663418,0.033713930919410218,4,9,,0.062498531945924349,-0.058063407123959271,0.21941869863145336,120,103,17,0.41666666666666669,3,7,162.5,0.69148936170212771,0.21941869863145336,0.16535233310631003,26,False,False,103,11,11,0.41666666666666669,0.25,0.75,0.16666666666666666,0.83333333333333337,162.5,12.5,387.5,0,400,0.69148936170212771,0,1.7021276595744681,0.15124533692641795,0.11168273771880424,3,4,11
