diameter_um,metric,volume_values,n,median,min,max,p5,p10,p90,p95,p99,mad
128,X4_jitter,"{""D128_F01_V01"": 0.5356382787429652, ""D128_F03_V01"": 0.5123990266267668, ""D128_F05_V01"": 0.5370422444684095, ""D128_F07_V01"": 0.5579800251556435, ""D128_F10_V01"": 0.5434393395946842}",5,0.53704224446840954,0.51239902662676684,0.55798002515564349,0.51704687705000651,0.52169472747324619,0.5521637509312598,0.55507188804345164,0.5573983977332051,0.0063970951262746212
128,background_median,"{""D128_F01_V01"": 14571757.464120552, ""D128_F03_V01"": 15065014.445586089, ""D128_F05_V01"": 14695428.858505433, ""D128_F07_V01"": 15311854.637631029, ""D128_F10_V01"": 14490209.729606807}",5,14695428.858505433,14490209.729606807,15311854.637631029,14506519.276509557,14522828.823412305,15213118.560813053,15262486.599222042,15301981.029949231,205219.12889862619
128,background_mad,"{""D128_F01_V01"": 820549.5908440165, ""D128_F03_V01"": 871392.012255013, ""D128_F05_V01"": 837546.1195253432, ""D128_F07_V01"": 864599.4505258799, ""D128_F10_V01"": 907622.7972080866}",5,864599.45052587986,820549.59084401652,907622.79720808659,823948.8965802819,827348.20231654716,893130.48322685715,900376.64021747187,906173.56580996362,27053.33100053668
128,background_rcv,"{""D128_F01_V01"": 0.08348662310505735, ""D128_F03_V01"": 0.08575669157408639, ""D128_F05_V01"": 0.08449878453799428, ""D128_F07_V01"": 0.08371651740993745, ""D128_F10_V01"": 0.09286556814917979}",5,0.084498784537994281,0.083486623105057348,0.092865568149179789,0.083532601966033362,0.083578580827009391,0.090022017519142433,0.091443792834161111,0.092581213086176048,0.0010121614329369338
128,background_drift,"{""D128_F01_V01"": -0.12458785884236534, ""D128_F03_V01"": -0.08020464229473179, ""D128_F05_V01"": -0.14171047921153548, ""D128_F07_V01"": -0.072472348463063, ""D128_F10_V01"": -0.14585772978732095}",5,-0.12458785884236534,-0.14585772978732095,-0.072472348463062997,-0.14502827967216386,-0.14419882955700677,-0.075565265995730518,-0.074018807229396757,-0.072781640216329754,0.02126987094495561
128,background_trend_amplitude,"{""D128_F01_V01"": 0.170949007240412, ""D128_F03_V01"": 0.22707992726200335, ""D128_F05_V01"": 0.21314614057407064, ""D128_F07_V01"": 0.17737185167180525, ""D128_F10_V01"": 0.17610991609127466}",5,0.17737185167180525,0.17094900724041201,0.22707992726200335,0.17198118901058454,0.17301337078075707,0.22150641258683026,0.22429316992441681,0.22652257579448604,0.0064228444313932376
128,negative_control_rho,"{""D128_F01_V01"": 0.028837024318192316, ""D128_F03_V01"": 0.06531710317099931, ""D128_F05_V01"": 0.024390988443671706, ""D128_F07_V01"": 0.028769875112740553, ""D128_F10_V01"": 0.0253684308547246}",5,0.028769875112740553,0.024390988443671706,0.065317103170999313,0.024586476925882284,0.024781965408092865,0.050725071629876516,0.058021087400437904,0.063857900016887029,0.0034014442580159523
128,real_high_rho,"{""D128_F01_V01"": 0.28620312867135134, ""D128_F03_V01"": 0.23731518684436062, ""D128_F05_V01"": 0.27214389587821936, ""D128_F07_V01"": 0.23743746473499283, ""D128_F10_V01"": 0.2358217035382402}",5,0.23743746473499283,0.2358217035382402,0.28620312867135134,0.23612040019946429,0.23641909686068838,0.28057943555409853,0.28339128211272496,0.28564075935962607,0.0016157611967526353
128,real_map_rho,"{""D128_F01_V01"": 0.0919291122139867, ""D128_F03_V01"": 0.07508376620523889, ""D128_F05_V01"": 0.08344976507878529, ""D128_F07_V01"": 0.10408307201844857, ""D128_F10_V01"": 0.09265454587812702}",5,0.091929112213986697,0.075083766205238892,0.10408307201844857,0.076756965979948175,0.078430165754657458,0.099511661562319956,0.10179736679038426,0.10362593097283571,0.0084793471352014038
128,real_peak_rho,"{""D128_F01_V01"": 0.3974469161630943, ""D128_F03_V01"": 0.2722681915654425, ""D128_F05_V01"": 0.36937402906164096, ""D128_F07_V01"": 0.34621805280270024, ""D128_F10_V01"": 0.2929678824046062}",5,0.34621805280270024,0.27226819156544252,0.3974469161630943,0.27640812973327528,0.28054806790110798,0.38621776132251295,0.39183233874280365,0.39632400067903617,0.051228863360394061
128,real_specificity,"{""D128_F01_V01"": 0.09350736780389463, ""D128_F03_V01"": 0.07548664204456537, ""D128_F05_V01"": 0.08946374658386717, ""D128_F07_V01"": 0.10314152220291388, ""D128_F10_V01"": 0.09473425389379302}",5,0.093507367803894625,0.075486642044565372,0.10314152220291388,0.078282062952425735,0.081077483860286098,0.099778614879265537,0.1014600685410897,0.10280523147054904,0.0040436212200274518
128,real_high_specificity,"{""D128_F01_V01"": 0.2732466253996909, ""D128_F03_V01"": 0.23818777261380106, ""D128_F05_V01"": 0.2771890776900277, ""D128_F07_V01"": 0.2344958605752736, ""D128_F10_V01"": 0.24584464802372025}",5,0.24584464802372025,0.23449586057527361,0.27718907769002771,0.2352342429829791,0.23597262539068459,0.27561209677389298,0.27640058723196037,0.27703137959841423,0.01134878744844664
128,excess_high_rho,"{""D128_F01_V01"": 0.21626502393915564, ""D128_F03_V01"": 0.09604183311220821, ""D128_F05_V01"": 0.2721066397726532, ""D128_F07_V01"": 0.20376116817068562, ""D128_F10_V01"": 0.18831174011132967}",5,0.20376116817068562,0.096041833112208208,0.2721066397726532,0.1144958145120325,0.13294979591185679,0.24976999343925418,0.26093831660595368,0.2698729751393133,0.015449428059355952
128,high_source_u,"{""D128_F01_V01"": 0.4166666666666667, ""D128_F03_V01"": 0.4166666666666667, ""D128_F05_V01"": 0.4166666666666667, ""D128_F07_V01"": 0.4166666666666667, ""D128_F10_V01"": 0.4166666666666667}",5,0.41666666666666669,0.41666666666666669,0.41666666666666669,0.41666666666666669,0.41666666666666669,0.41666666666666669,0.41666666666666669,0.41666666666666669,0
128,high_tail_depth_um,"{""D128_F01_V01"": 37.5, ""D128_F03_V01"": 37.5, ""D128_F05_V01"": 37.5, ""D128_F07_V01"": 50.0, ""D128_F10_V01"": 37.5}",5,37.5,37.5,50,37.5,37.5,45,47.5,49.5,0
128,source_peak_coupling_bin,"{""D128_F01_V01"": 3, ""D128_F03_V01"": 3, ""D128_F05_V01"": 3, ""D128_F07_V01"": 3, ""D128_F10_V01"": 3}",5,3,3,3,3,3,3,3,3,0
128,source_peak_detectability_bin,"{""D128_F01_V01"": 6, ""D128_F03_V01"": 6, ""D128_F05_V01"": 6, ""D128_F07_V01"": 6, ""D128_F10_V01"": 6}",5,6,6,6,6,6,6,6,6,0
