source_bin,tail_bin,u_lo,u_hi,u_mid,tail_lo_um,tail_hi_um,tail_mid_um,eta_lo,eta_hi,eta_mid,scan_id,diameter_um,flow_mm_s,grid_scope,coordinate,source_bins,mode,metric,rho_lag0,rho_peak,lag_at_peak,n_pairs_lag0,n_pairs_at_peak,zero_lag_rank,peak_within_pm2,peak_within_pm5,rho_remote_median,zero_lag_specificity,peak_tie_count,rho,side
1,11,0,0.16666666666666666,0.083333333333333329,250,275,262.5,1.953125,2.1484375,2.05078125,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.070768947712433666,0.19032055936005862,-27,486,451,70,False,False,0.0797587337739247,-0.0089897860614910341,1,0.070768947712433666,left
1,12,0,0.16666666666666666,0.083333333333333329,275,300,287.5,2.1484375,2.34375,2.24609375,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.071015971057603378,0.19347216832415851,-7,486,470,50,False,False,0.060972099350782002,0.010043871706821375,1,0.071015971057603378,left
1,13,0,0.16666666666666666,0.083333333333333329,300,325,312.5,2.34375,2.5390625,2.44140625,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.11811662209426771,0.15625822256498664,9,486,469,10,False,False,0.055561290992309845,0.062555331101957865,1,0.11811662209426771,left
1,14,0,0.16666666666666666,0.083333333333333329,325,350,337.5,2.5390625,2.734375,2.63671875,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.11049381409324113,0.15915601508427255,46,486,433,17,False,False,0.070000734425679126,0.040493079667562007,1,0.11049381409324113,left
1,15,0,0.16666666666666666,0.083333333333333329,350,375,362.5,2.734375,2.9296875,2.83203125,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.1339674087036789,0.17833937039172762,1,486,475,12,True,True,0.070406838947327188,0.063560569756351715,1,0.1339674087036789,left
1,16,0,0.16666666666666666,0.083333333333333329,375,400,387.5,2.9296875,3.125,3.02734375,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.15649127538738525,0.15649127538738525,0,486,486,1,True,True,0.030495260526708076,0.12599601486067719,1,0.15649127538738525,left
1,17,0,0.16666666666666666,0.083333333333333329,400,425,412.5,3.125,3.3203125,3.22265625,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.1687214921548135,0.19539196286951571,11,486,467,3,False,False,0.078291384170428996,0.0904301079843845,1,0.1687214921548135,left
1,18,0,0.16666666666666666,0.083333333333333329,425,450,437.5,3.3203125,3.515625,3.41796875,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.062376008105878185,0.13114292946157147,6,486,472,40,False,False,0.048731536899490793,0.013644471206387392,1,0.062376008105878185,left
1,19,0,0.16666666666666666,0.083333333333333329,450,475,462.5,3.515625,3.7109375,3.61328125,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.14545049223034218,0.17368598524169235,2,486,474,9,True,True,0.071085969706721416,0.07436452252362076,1,0.14545049223034218,left
1,20,0,0.16666666666666666,0.083333333333333329,475,500,487.5,3.7109375,3.90625,3.80859375,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.13920246375209433,0.15679741008298356,42,486,436,2,False,False,0.056568519165494345,0.082633944586599978,1,0.13920246375209433,left
2,1,0.16666666666666666,0.33333333333333331,0.25,0,25,12.5,0,0.1953125,0.09765625,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.14068439474706895,0.17228443730331172,-36,486,442,6,False,False,0.07647471563994121,0.064209679107127743,1,0.14068439474706895,left
2,2,0.16666666666666666,0.33333333333333331,0.25,25,50,37.5,0.1953125,0.390625,0.29296875,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.12341210011919951,0.1543617531645386,15,486,463,7,False,False,0.023714080009072335,0.09969802011012717,1,0.12341210011919951,left
2,3,0.16666666666666666,0.33333333333333331,0.25,50,75,62.5,0.390625,0.5859375,0.48828125,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.13240717873048508,0.17554922646259405,-36,486,442,4,False,False,0.044120812760107639,0.088286365970377437,1,0.13240717873048508,left
2,4,0.16666666666666666,0.33333333333333331,0.25,75,100,87.5,0.5859375,0.78125,0.68359375,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.12013451952626501,0.17283344577892396,-2,486,474,9,True,True,0.044136693814506266,0.075997825711758754,1,0.12013451952626501,left
2,5,0.16666666666666666,0.33333333333333331,0.25,100,125,112.5,0.78125,0.9765625,0.87890625,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.049339385039406894,0.15010611868840582,22,486,456,53,False,False,0.044870777036942727,0.0044686080024641667,1,0.049339385039406894,left
2,6,0.16666666666666666,0.33333333333333331,0.25,125,150,137.5,0.9765625,1.171875,1.07421875,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.10783593489267478,0.15651300876140273,10,486,468,11,False,False,0.040181232903175171,0.067654701989499605,1,0.10783593489267478,left
2,7,0.16666666666666666,0.33333333333333331,0.25,150,175,162.5,1.171875,1.3671875,1.26953125,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.087306653662136774,0.19932106938614527,17,486,461,23,False,False,0.036942092937907449,0.050364560724229325,1,0.087306653662136774,left
2,8,0.16666666666666666,0.33333333333333331,0.25,175,200,187.5,1.3671875,1.5625,1.46484375,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.072991426052808894,0.18751210503378313,18,486,460,20,False,False,0.034479506583397046,0.038511919469411848,1,0.072991426052808894,left
2,9,0.16666666666666666,0.33333333333333331,0.25,200,225,212.5,1.5625,1.7578125,1.66015625,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.14508607268685447,0.1536130858140915,-14,486,464,2,False,False,0.024329761441611295,0.12075631124524318,1,0.14508607268685447,left
2,10,0.16666666666666666,0.33333333333333331,0.25,225,250,237.5,1.7578125,1.953125,1.85546875,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.098931490746163642,0.19468523941888891,14,486,464,20,False,False,0.041684672543287851,0.05724681820287579,1,0.098931490746163642,left
2,11,0.16666666666666666,0.33333333333333331,0.25,250,275,262.5,1.953125,2.1484375,2.05078125,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.08472247376683685,0.18330021000798624,-4,486,474,39,False,True,0.056659840514225041,0.02806263325261181,1,0.08472247376683685,left
2,12,0.16666666666666666,0.33333333333333331,0.25,275,300,287.5,2.1484375,2.34375,2.24609375,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.096153288282672889,0.15477236202103617,-12,486,466,18,False,False,0.041259308289535432,0.054893979993137457,1,0.096153288282672889,left
2,13,0.16666666666666666,0.33333333333333331,0.25,300,325,312.5,2.34375,2.5390625,2.44140625,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.13405752047834502,0.1623431237374181,6,486,472,3,False,False,0.034107102309165312,0.099950418169179711,1,0.13405752047834502,left
2,14,0.16666666666666666,0.33333333333333331,0.25,325,350,337.5,2.5390625,2.734375,2.63671875,D128_F01_V01,128,1,common_grid,absolute,6,raw,mean,0.12508439485160694,0.16789683902742242,21,486,457,8,False,False,0.046906050456527668,0.078178344395079272,1,0.12508439485160694,left
